---
season: 2021-22
division: d2
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 83 (9%)
today: 1 (0%)
future: 779 (88%)
completed: 82 (98%)
postponed: 1 (1%)
unreported: 1 (1%)
total: 882
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
G-MAC	 35397	2021-10-03	 1:00pm	W		SAG  	at		HIL  	L	1-6	 	 	d2     		2021-10-03T17:00Z		  	1:00 P.M. 	Hillsdale, MI                       				
G-MAC	 35702	2021-10-05	 4:30pm	W		CED  	at		OHWES	W	8-1	 	 	d2/d3  		2021-10-05T20:30Z		  	4:30 P.M. 	Delaware, OH                        				
 PSAC	112288	2021-10-07	 2:00pm	W		SHEP 	at		DEC  	L	2-5	 	 	d2     		2021-10-07T18:00Z		ET	2:00 P.M. 	Elkins, WV                          				
 PSAC	112211	2021-10-07	 3:30pm	W		LHU  	at		LYC  	W	5-4	 	 	d2/d3  		2021-10-07T19:30Z		ET	3:30 P.M. 	Williamsport, PA                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmlniS0rjvV7Rw%2b8vNJZeW7y1qd3HdpVxZRdPChBm514qATPvLeNa0nTcrANxNgEPXN5khNgMS0T1cOQuSjH2MO&path=wten)
 PSAC	112312	2021-10-08	11:00am	W		SHIP 	at		EDIN 	L	0-7	 	 	d2     		2021-10-08T15:00Z		ET	11:00 A.M.	Edinboro, PA                        				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkUXfOaG%2fgr6mmmRAWSH%2fiQz397rIVPrzSWALHIppDMeTPaGD%2fc9KdXRUaSbUKfS7V6ZpiZJ1BSRqL5UZjye5OYh0hwWH9JkW42Gfl9v1sunA%3d%3d&path=wten)
G-MAC	 36367	2021-10-08	 2:00pm	W		WAL  	at		SAG  	W	7-0	 	 	d2     		2021-10-08T18:00Z		  	2:00 P.M. 	University Center, MI               				
 PSAC	112150	2021-10-08	 3:00pm	W		KUTZ 	at		IUP  	L	0-7	 	 	d2     		2021-10-08T19:00Z		ET	3:00 P.M. 	Indiana, PA                         				
 PSAC	112202	2021-10-08	 3:30pm	W		LHU  	at		PATEC	W	8-1	 	 	d2/d3  		2021-10-08T19:30Z		ET	3:30 P.M. 	Williamsport, PA                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmlniS0rjvV7Rw%2b8vNJZeW7y1qd3HdpVxZRdPChBm514tEsbhYO2vaJ74sssgDOBIAt%2bzrF7INk322D87nKbW6a&path=wten)
 PSAC	112087	2021-10-08	 5:00pm	W		WVWC 	at		BUP  	W	4-3	 	 	d2     		2021-10-08T21:00Z		ET	5:00 P.M. 	Bloomsburg, PA                      				
G-MAC	 35705	2021-10-09	 9:30am	W		CED  	at		WITT 	L	0-6	 	 	d2/d3  		2021-10-09T13:30Z		  	9:30 A.M. 	Springfield, OH                     				
