---
season: d3
gender: women
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 398 (52%)
future: 362 (48%)
completed: 306 (77%)
unreported: 92 (23%)
total: 760
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	 6954	2021-09-18	10:00am	W		MNM  	at		LAKEF	L	0-9	 	C	d3     	2021-09-18T14:00Z			1d307e5f-7300-4ffd-a46d-8058888a7f78
ITA	62932	2021-09-18	10:30am	W		WARTB	at		STBEN	L	0-7	 	 	d3     	2021-09-18T14:30Z			68aca9fa-528d-4af8-9905-e4edebab4664
ITA	89069	2021-09-18	11:00am	W		WNE  	at		NIC  	L	0-9	 	C	d3     	2021-09-18T15:00Z			1b5fe065-e2c7-466c-815f-e3dd36464e10
ITA	34483	2021-09-18	11:00am	W		WIWHI	at		WILAC	W	7-2	 	C	d3     	2021-09-18T15:00Z			da403a9d-a45a-4f75-b795-5bd0915adc54
ITA	81022	2021-09-18	12:00pm	W		ALMAG	at		REGIS	L	0-9	 	C	d3     	2021-09-18T16:00Z			a15eabdf-bd3d-4d6a-8f0a-e92784bdeddd
ITA	22850	2021-09-18	12:00pm	W		RWIL 	at		ENDCT	W	9-0	 	C	d3     	2021-09-18T16:00Z			2492dc71-26cb-440f-8aa5-567d31680545
ITA	 6109	2021-09-18	12:00pm	W		SALVE	at		GORD 	L	2-7	 	C	d3     	2021-09-18T16:00Z			6602a4ce-f325-4955-a500-24118fe1a93d
ITA	99418	2021-09-18	12:00pm	W		ILWES	vs		PRI  	W	5-4	N	 	d3     	2021-09-18T16:00Z			4ca8810f-37b7-4ffe-ab13-6defbde165e9
ITA	98223	2021-09-18	12:00pm	W		MILIK	at		NPARK	W	8-1	 	C	d3     	2021-09-18T16:00Z			9486dd1a-c074-4ee4-9df2-760daaf58816
ITA	25703	2021-09-18	 1:00pm	W		BWAL 	at		WOOST	L	1-8	 	 	d3     	2021-09-18T17:00Z			78f09f52-86d9-4072-b88f-a80ce106143f
ITA	98314	2021-09-18	 1:00pm	W		MRYMT	at		BRI  	 	   	 	 	d3     	2021-09-18T17:00Z			7ad7ba7a-63c5-4915-a9ec-505d3873cc89
ITA	33415	2021-09-18	 1:00pm	W		PATEC	at		SUSQ 	 	   	 	 	d3     	2021-09-18T17:00Z			22de3647-3c0d-49ae-9cb5-3f312ebf1d41
ITA	12833	2021-09-18	 1:00pm	W		WISSP	at		DUBQ 	L	4-0	 	 	d3     	2021-09-18T17:00Z			4646620e-a6fd-4954-807d-b0d2bb19bc81
ITA	78358	2021-09-18	 2:00pm	W		AUGIL	at		CARTH	L	4-5	 	C	d3     	2021-09-18T18:00Z			5aa5efe3-ff10-4c26-bc7e-8819da7d188a
ITA	95218	2021-09-18	 3:00pm	W		LWRNC	at		GRINN	L	0-9	 	C	d3     	2021-09-18T19:00Z			d6e0be6c-6479-49e8-9d5b-a9303af43f52
ITA	97732	2021-09-18	 3:30pm	W		ILWES	at		GVILL	L	1-8	 	 	d3     	2021-09-18T19:30Z			cebac971-c3bd-4744-83cb-95bd43f543c4
ITA	15066	2021-09-18	 4:00pm	W		RIPON	at		CRNLC	L	3-6	 	C	d3     	2021-09-18T20:00Z			23752f3b-6ac8-4476-97e4-033c5532c53a
ITA	64715	2021-09-19	10:00am	W		EMERS	at		NIC  	L	1-8	 	 	d3     	2021-09-19T14:00Z			f869fcfd-ced8-4c41-a884-8e97060d9116
