---
season: 2021-22
division: d2
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 56 (7%)
future: 671 (90%)
completed: 54 (96%)
postponed: 1 (2%)
unreported: 1 (2%)
total: 748
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 GLVC	132516	2021-10-23	 4:00pm	M		WJC  	at		WUT  	L	0-7	 	 	d2     		2021-10-23T20:00Z		CT	3:00 P.M. 	Topeka, KS                           				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvL0DDpqZKGwGFhutyh5lQqXuBIsikzVzC%2bwjhwaW3FaGObPjl2YMyhyq%2fAjPm%2feRAyA%3d%3d&path=mten)
   CC	 68359	2021-10-29	 1:00pm	M		SWU  	at		NEW  	L	1-6	 	 	d2     		2021-10-29T17:00Z		ET	1:00 p.m. 	Newberry, SC                         				[Box Score](/boxscore.aspx?id=Q%2bDH8cpEPZr0%2bdXvz7ZLg3KVb%2bwSBCq1iYssPPimEGXYmh9%2bSnw7uueiF5Ckx%2fajqxNKK52%2bTeUsbgjuQxpNCiDG2U%2bi%2fYptVLSCYB1cjW%2b%2fjPXyMv%2beNbb95L9enXKg&path=mten)
 GLVC	132446	2021-11-03	11:00am	M		ROCKH	vs		WJC  	W	4-3	N	 	d2     		2021-11-03T15:00Z		CT	10:00 A.M.	Kansas City, MO                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmBQj4z8h2uGfgub9kqYeXuWfuxol5Xg9HLhDez550W8VPPOk5VIwvY8R%2bh%2bC3E%2fYOjsXgSA7fcvdE4CdSqYNRAaK43sP4%2fI28Q%2bHfYkTKBAw%3d%3d&path=mten)
  GSC	 59070	2022-01-17	 3:30pm	M		W AL 	at		SALA 	L	0-7	 	 	d2/d1  		2022-01-17T20:30Z		CT	2:30 P.M. 	Mobile, AL                           				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglpoFh4o%2fDb8jfZrwvWfWcwOPey1N1Zcg9RRnDuZnAy2X%2f%2b3LFHrc2OsmDLgRqj%2bcq%2bry1YRwxyFIItpI7emFuzJMCNcmmekEAjJ%2bTH0OMGMQ%3d%3d&path=mten)
G-MAC	 35465	2022-01-19	    TBA	M		TU   	at		TOL  	 	   	 	 	d2/d1  		                 		  	TBA       	Toledo, OH                           				
  GSC	 58989	2022-01-20	12:00pm	M		JVST 	at		LEE  	P	   	 	 	d1/d2  		2022-01-20T17:00Z		ET	12:00 P.M.	Cleveland, TN                        				[Live Stats](https://twitter.com/LeeUTennisLive)
 GLVC	132314	2022-01-22	 3:00pm	M		IWES 	at		INDI 	 	   	 	 	naia/d2		2022-01-22T20:00Z		ET	3:00 P.M. 	Indianapolis, IN                     				
  GSC	 58990	2022-01-22	 5:30pm	M		LEE  	at		BEL  	 	   	 	 	d2/d1  		2022-01-22T22:30Z		ET	5:30 P.M. 	Nashville, TN                        				[Live Stats](https://twitter.com/LeeUTennisLive)
 GLVC	132294	2022-01-26	12:00pm	M		NWOH 	at		INDI 	 	   	 	 	naia/d2		2022-01-26T17:00Z		ET	12:00 P.M.	Indianapolis, IN                     				
   CC	 68311	2022-01-28	 2:00pm	M		PRES 	at		EMM  	 	   	 	 	d1/d2  		2022-01-28T19:00Z		ET	2:00 p.m. 	Franklin Springs, GA                 				
  LSC	 98897	2022-01-28	 3:00pm	M		MCMUR	at		MSUTX	 	   	 	 	d3     		2022-01-28T20:00Z		CT	2 p.m.    	Wichita Falls, TX                    				
   CC	 68293	2022-01-29	 3:00pm	M		EMM  	at		FUR  	 	   	 	 	d2/d1  		2022-01-29T20:00Z		ET	3:00 p.m. 	Greenville, SC                       				
  PBC	 59995	2022-01-29	 3:00pm	M		YOUNG	at		MER  	 	   	 	 	d2/d1  		2022-01-29T20:00Z		ET	3:00 P.M. 	Macon, GA                            				
  LSC	 98958	2022-01-30	    TBA	M		USTMN	at		UTPB 	 	   	 	 	d1/d2  		                 		CT	TBA       	Odessa, TX                           				
  LSC	 98918	2022-01-30	10:30am	M		UTRGV	at		SMTX 	 	   	 	 	d1/d2  		2022-01-30T15:30Z		CT	9:30 a.m. 	San Antonio, TX                      				
  PBC	 59861	2022-01-30	 1:00pm	M		COL  	at		ALST 	 	   	 	 	d2/d1  		2022-01-30T18:00Z		ET	1:00 P.M. 	Montgomery, AL                       				
  LSC	 99008	2022-01-30	 1:00pm	M		WNMU 	at		NAU  	 	   	 	 	d2/d1  		2022-01-30T18:00Z		MT	11 a.m.   	Flagstaff, AZ                        				
   CC	 68294	2022-01-30	 2:00pm	M		EMM  	at		MER  	 	   	 	 	d2/d1  		2022-01-30T19:00Z		ET	2:00 p.m. 	Macon, GA                            				
  GSC	 59670	2022-02-01	 1:00pm	M		VAL  	at		GCSU 	 	   	 	 	d2     		2022-02-01T18:00Z		ET	1:00 P.M. 	Milledgeville, GA                    				
  PBC	 60672	2022-02-01	 2:00pm	M		VAL  	at		GCSU 	 	   	 	 	d2     		2022-02-01T19:00Z		  	2:00 P.M. 	Milledgeville, GA                    				
  PBC	 59896	2022-02-02	    TBA	M		BEN  	at		AGSTA	 	   	 	 	d2     		                 		ET	TBA       	Augusta, GA                          				
  PBC	 59862	2022-02-02	 2:00pm	M		COL  	at		ANDSC	 	   	 	 	d2     		2022-02-02T19:00Z		ET	2:00 P.M. 	Anderson, SC                         				
  PBC	 59996	2022-02-02	 3:00pm	M		YOUNG	at		JVST 	 	   	 	 	d2/d1  		2022-02-02T20:00Z		ET	3:00 P.M. 	Jacksonville, AL                     				
 GLVC	132296	2022-02-02	 6:00pm	M		IUPUI	at		INDI 	 	   	 	 	d1/d2  		2022-02-02T23:00Z		ET	6:00 P.M. 	Indianapolis, IN                     				
  PBC	 59897	2022-02-04	    TBA	M		AGSTA	at		FMU  	 	   	 	 	d2     		                 		ET	TBA       	Florence, SC                         				
  GSC	 58954	2022-02-04	    TBA	M		DLST 	vs		OUA  	 	   	N	 	d2     		                 		CT	TBA       	Arkadelphia, AR                      				
  LSC	 98867	2022-02-04	11:00am	M		ETXBP	at		DBAP 	 	   	 	 	d3/d2  		2022-02-04T16:00Z		CT	10 a.m.   	Arlington, TX                        				
  GSC	 59428	2022-02-04	12:00pm	M		SPHC 	at		AUBM 	 	   	 	 	d2     		2022-02-04T17:00Z		CT	11:00 A.M.	Montgomery, AL                       				[Live Stats](https://docs.google.com/document/d/1VqH4IYn_CESwleNYglPi1MCm8w-p6dMVRgMkRLU8VOE/edit?usp=sharing)
  LSC	 98959	2022-02-04	12:00pm	M		UTPB 	at		ABCHR	 	   	 	 	d2/d1  		2022-02-04T17:00Z		CT	11 a.m.   	Abilene, TX                          				
  LSC	 98824	2022-02-04	 3:00pm	M		CAM  	at		UTA  	 	   	 	 	d2/d1  		2022-02-04T20:00Z		CT	2 p.m.    	Arlington, TX                        				
  LSC	 98855	2022-02-04	 3:00pm	M		HOWPN	at		DBAP 	 	   	 	 	d3/d2  		2022-02-04T20:00Z		CT	2 p.m.    	Arlington, TX                        				
  LSC	 98864	2022-02-04	 4:00pm	M		LETOU	at		DBAP 	 	   	 	 	d3/d2  		2022-02-04T21:00Z		CT	3 p.m.    	Arlington, TX                        				
  GSC	 58926	2022-02-04	 4:00pm	M		TUSK 	at		AUBM 	 	   	 	 	d2     		2022-02-04T21:00Z		CT	3:00 P.M. 	Montgomery, AL                       				[Live Stats](https://docs.google.com/document/d/1VqH4IYn_CESwleNYglPi1MCm8w-p6dMVRgMkRLU8VOE/edit)
 PSAC	111945	2022-02-04	 6:00pm	M		EDIN 	vs		SALEM	 	   	N	 	d2     		2022-02-04T23:00Z		ET	6:00 P.M. 	                                     				
 GLVC	132485	2022-02-04	 6:00pm	M		SWB  	at		OUA  	 	   	 	 	d2     		2022-02-04T23:00Z		CT	5:00 P.M. 	Arkadelphia, AR                      				
  GSC	 58962	2022-02-05	    TBA	M		DLST 	vs		SWB  	 	   	N	 	d2     		                 		CT	TBA       	Arkadelphia, AR                      				
G-MAC	 35357	2022-02-05	    TBA	M		HIL  	at		LTECH	 	   	 	 	d2/naia		                 		  	TBA       	Southfield, MI                       				
G-MAC	 35466	2022-02-05	    TBA	M		TU   	at		NWOOD	 	   	 	 	d2/??? 		                 		  	TBA       	Midland, MI                          				
  PBC	 59954	2022-02-05	    TBA	M		UNG  	at		TUSC 	 	   	 	 	d2     		                 		ET	TBA       	Greeneville, TN                      				
  LSC	 98929	2022-02-05	 9:00am	M		TABOR	at		SMTX 	 	   	 	 	naia/d2		2022-02-05T14:00Z		CT	8 a.m.    	San Antonio, TX                      				
 GLVC	132486	2022-02-05	10:00am	M		DLST 	vs		SWB  	 	   	N	 	d2     		2022-02-05T15:00Z		CT	9:00 A.M. 	Arkadelphia, AR                      				
  LSC	 98854	2022-02-05	10:00am	M		MCMUR	at		DBAP 	 	   	 	 	d3/d2  		2022-02-05T15:00Z		CT	9 a.m.    	Arlington, TX                        				
