---
season: d3
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 125 (17%)
today: 1 (0%)
future: 604 (83%)
completed: 94 (75%)
unreported: 32 (25%)
total: 731
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	16823	2021-09-24	 4:00pm	M		CAP  	at	  	MTVRN                      	L	3-4	 	 	d3/naia	2021-09-24T20:00Z			b1fc3941-7879-4447-bb86-3fd73690b6c5
ITA	48335	2021-09-25	11:00am	M		ALB  	at	  	ALMA                       	 	   	 	 	d3     	2021-09-25T15:00Z			82d4f8b6-c59b-455a-b764-7d802c49d74f
ITA	86953	2021-09-25	11:00am	M		MTUNI	at	  	ALGNY                      	L	1-8	 	 	d3     	2021-09-25T15:00Z			d557a673-8353-40cf-82d9-a9159eeeb688
ITA	21425	2021-09-25	12:00pm	M		FARM 	at	  	FDUF                       	 	   	 	 	d3     	2021-09-25T16:00Z			c1cbb161-5a83-4c7b-921d-6f98895e78a1
ITA	16076	2021-09-25	 1:00pm	M		FRANC	at	  	OHION                      	L	0-9	 	 	d3     	2021-09-25T17:00Z			0c247290-59ce-4244-b763-776425cf6b3b
ITA	44742	2021-09-25	 1:00pm	M		MESS 	at	  	GETT                       	L	0-7	 	 	d3     	2021-09-25T17:00Z			6ef2d37b-3479-4de1-9e3e-7124e45f433b
ITA	48595	2021-09-25	 1:00pm	M		LEBAN	at	  	SUSQ                       	W	6-3	 	 	d3     	2021-09-25T17:00Z			1f35174b-750c-4649-a96a-8f9da9aaa89f
ITA	 2251	2021-09-25	 2:00pm	M		GWYN 	at	  	CAIRN                      	L	0-6	 	 	d3     	2021-09-25T18:00Z			fed8ece8-9ad0-41d1-a1a3-45c505edadcf
ITA	94867	2021-09-25	 2:00pm	M		GWYN 	at	  	CAIRN                      	 	   	 	 	d3     	2021-09-25T18:00Z			9b175330-3d2b-48f3-8cff-e53b53dbe50c
ITA	85423	2021-09-25	 4:00pm	M		OHWES	at	  	OHION                      	L	1-8	 	 	d3     	2021-09-25T20:00Z			be01d101-db4f-4ab3-9db1-ad89dd736c20
ITA	79732	2021-09-26	 3:00pm	M		WISE 	at	  	BREV                       	W	7-0	 	 	d2/d3  	2021-09-26T19:00Z			3e15e2a1-a1ac-4158-9ea6-ed4eb5049d71
ITA	20207	2021-09-26	12:00pm	M		EMHEN	at	  	ROAN                       	W	5-2	 	 	d3     	2021-09-26T16:00Z			d8e57f34-871e-4474-82b7-5bce7a073ed2
ITA	 4310	2021-09-26	 2:00pm	M		WILLM	at	  	LINF                       	L	1-8	 	 	d3     	2021-09-26T18:00Z			9cf77416-de25-4f41-9a84-8f3a9f0869ca
ITA	99726	2021-09-26	 4:00pm	M		MSOE 	at	  	CARTH                      	L	0-9	 	 	d3     	2021-09-26T20:00Z			3ec0c3ff-2dd9-4f9b-b9ad-8ef04bbbc65f
ITA	95354	2021-09-26	12:00pm	M		EMERS	at	  	STON                       	L	2-5	 	 	d3/d2  	2021-09-26T16:00Z			5c1d599b-309c-470f-be04-8da63711dcda
ITA	89578	2021-09-26	12:00pm	M		USFIL	at	  	CARTH                      	L	0-9	 	 	naia/d3	2021-09-26T16:00Z			5e632db4-d9c2-43bb-8570-0d1845e9886f
ITA	10331	2021-09-27	 3:00pm	M		CAIRN	at	  	MARYW                      	 	   	 	 	d3     	2021-09-27T19:00Z			59a4925a-56f1-4529-9406-73c1e8213e0f
ITA	 9013	2021-09-27	 4:00pm	M		REGIS	at	  	RWIL                       	 	   	 	 	d3     	2021-09-27T20:00Z			791cd161-668d-44aa-ad85-f0a8237f15c3
ITA	11770	2021-09-27	 4:00pm	M		REGIS	at	  	RWIL                       	L	2-7	 	 	d3     	2021-09-27T20:00Z			26adead8-947d-4c78-84ef-ea9da6163e1b
ITA	17785	2021-09-28	 2:00pm	M		BTHIN	at	  	TRINE                      	L	1-8	 	 	naia/d3	2021-09-28T18:00Z			9810550a-fb26-47c7-b22c-58c617c8e259
ITA	62221	2021-09-28	 5:00pm	M		DOANE	at	  	NEWES                      	W	9-0	 	 	naia/d3	2021-09-28T21:00Z			94e9e733-cc06-4a5a-bbdd-eb270bc8f518
ITA	95664	2021-09-29	 3:30pm	M		LEBAN	at	  	SCRAN                      	W	6-3	 	 	d3     	2021-09-29T19:30Z			73ee2e72-7c8e-43aa-89a0-83fa9cce984c
ITA	41254	2021-09-29	 5:30pm	M		WILUT	at	  	CARRL                      	W	6-3	 	 	d3     	2021-09-29T21:30Z			9560a3c6-5387-4750-ad36-2c0e3ad58bab
ITA	 1356	2021-09-29	11:00am	M		OBRL 	vs	  	WAL                        	L	0-9	N	 	d3/d2  	2021-09-29T15:00Z			9361df4f-3ac5-45d9-9957-f9027035857a
ITA	30751	2021-09-29	 4:00pm	M		HOPE 	at	  	Northwood University/MI (M)	L	1-6	 	 	d3/d2  	2021-09-29T20:00Z		bac66025-0b79-4ca3-bc79-9ace95603f9e	a70232be-b08c-4570-8359-dec45dc8127c
ITA	43407	2021-09-29	 4:30pm	M		VISTA	at	  	ICCC                       	L	0-9	 	 	d3/juco	2021-09-29T20:30Z			f1785103-f57a-45f3-9261-584bd7f8971b
ITA	26605	2021-09-29	 3:00pm	M		JOHN 	at	  	MARYV                      	W	8-1	 	 	naia/d3	2021-09-29T19:00Z			4645ebb3-458a-454b-9ae7-f4b6fbe92d2e
ITA	53394	2021-09-29	 3:00pm	M		SHAWN	at	  	WITT                       	L	2-5	 	 	naia/d3	2021-09-29T19:00Z			843dd249-8ec1-4a96-9659-83c7ea688065
ITA	60466	2021-09-29	 4:00pm	M		JUDIL	at	  	ELMH                       	W	9-0	 	 	naia/d3	2021-09-29T20:00Z			b5e3cd0c-ecb1-4980-a3f5-315be06d7b54
ITA	58857	2021-09-30	 3:30pm	M		BENT 	at	  	NIC                        	 	   	 	 	d2/d3  	2021-09-30T19:30Z			8b4256d0-9701-4fc1-aeff-1e45e097803b
ITA	85013	2021-09-30	 4:00pm	M		WAYNE	at	  	FROST                      	 	   	 	 	d3/d2  	2021-09-30T20:00Z			7eb68422-840f-4805-8684-b40d4d578b7e
ITA	 7376	2021-09-30	 2:00pm	M		MILLG	at	  	EMHEN                      	W	6-1	 	 	naia/d3	2021-09-30T18:00Z			01a53a19-0a78-4a1a-b29b-c0606d76b2f5
ITA	 7108	2021-10-02	12:00pm	M		WISE 	at	  	MARYV                      	W	7-0	 	 	d2/d3  	2021-10-02T16:00Z			625151eb-9d88-4165-b0d2-72a43630f732
ITA	10394	2021-10-02	11:00am	M		ANDIN	at	  	ALB                        	 	   	 	 	d3     	2021-10-02T15:00Z			eca2ed75-7bd2-44c0-b1bb-10226539298b
ITA	64836	2021-10-02	11:00am	M		MESS 	at	  	SWAT                       	L	0-9	 	 	d3     	2021-10-02T15:00Z			e0fa5b7a-5956-41cf-9708-4ebc3aa25dd6
ITA	98619	2021-10-02	 1:00pm	M		PSUAB	at	  	CAIRN                      	 	   	 	 	d3     	2021-10-02T17:00Z			2a00defc-cc13-4625-b8cf-cde4672cf4fd
ITA	40343	2021-10-02	10:00am	M		BENT 	vs	  	EMERS                      	 	   	N	 	d2/d3  	2021-10-02T14:00Z			d1ed0c80-172d-4d12-b8c0-dcd6017bd03f
ITA	64623	2021-10-02	 5:00pm	M		EMERS	at	  	BENT                       	 	   	 	 	d3/d2  	2021-10-02T21:00Z			ebf9253c-892f-4354-b042-17c16d94a465
ITA	72410	2021-10-05	 4:30pm	M		CED  	at	  	WITT                       	L	4-5	 	 	d2/d3  	2021-10-05T20:30Z			ca4ae93b-d1c3-479f-8333-55ab0cfb79f4
ITA	26123	2021-10-05	 3:00pm	M		CAIRN	at	  	KICO                       	L	2-7	 	 	d3     	2021-10-05T19:00Z			c0fccb60-5eea-4b99-a1f0-706e7bbe0307
ITA	80072	2021-10-05	 3:00pm	M		CAIRN	at	  	KICO                       	W	6-3	 	 	d3     	2021-10-05T19:00Z			c6206240-1a57-4f49-b19f-67efd02852af
ITA	46347	2021-10-05	 3:30pm	M		FDUF 	at	  	IMMAC                      	 	   	 	 	d3     	2021-10-05T19:30Z			c7f85bd2-12f6-4275-bbc4-fe34da5657b2
ITA	55722	2021-10-05	 5:00pm	M		MIDLN	at	  	NEWES                      	W	7-2	 	 	naia/d3	2021-10-05T21:00Z			d74b140d-6292-41ca-836d-5703bfdcb2eb
ITA	10830	2021-10-07	 3:30pm	M		SPRG 	at	  	NIC                        	L	0-9	 	 	d3     	2021-10-07T19:30Z			dd0ee99c-0b75-4dc7-bf90-4c610a1bc823
ITA	45825	2021-10-08	11:00am	M		BETHL	at	  	WIEAU                      	 	   	 	 	d3     	2021-10-08T15:00Z			001c55f5-e79c-4e8f-9d4e-7f46c07ba1dd
ITA	36869	2021-10-09	10:00am	M		MESS 	at	  	DCK                        	L	2-5	 	 	d3     	2021-10-09T14:00Z			49407cf7-d16a-42d8-baa2-3aef580f622a
ITA	94881	2021-10-09	12:00pm	M		URSNS	at	  	YRKPA                      	 	   	 	 	d3     	2021-10-09T16:00Z			898228e5-b9d4-4ba2-ac30-e2be9e517312
ITA	 7847	2021-10-09	 1:00pm	M		ENAZ 	at	  	CLRK                       	W	9-0	 	 	d3     	2021-10-09T17:00Z			a9d2df10-1fcf-4291-ad0c-4dcbcb985a65
ITA	32700	2021-10-09	 1:00pm	M		PSUHA	at	  	SUSQ                       	L	3-6	 	 	d3     	2021-10-09T17:00Z			d4726825-3348-43ae-b801-cbfc5157cf07
ITA	26537	2021-10-09	 2:00pm	M		CWRU 	at	  	OBRL                       	W	9-0	 	 	d3     	2021-10-09T18:00Z			25fd37eb-396d-4a3a-8199-8fb3fc7d8578
