division	gender	conference	state	city	abbreviation	name	website	twitter	instagram	facebook	map
d1  	men  	BIG EAST 	IL	Chicago            	             	DePaul University                                         	https://depaulbluedemons.com/sports/mens-tennis	DePaulMTEN	depaulmten	DePaulMensTennis	https://goo.gl/maps/1nBLVBNTN61rTL1x5
d1  	men  	BIG EAST 	DC	Washington         	GU           	Georgetown University                                     	https://guhoyas.com/sports/mens-tennis	hoyatennis	hoyatennis	GeorgetownAthletics	https://goo.gl/maps/mxkQKTUEWreMatWh6
d1  	men  	BIG EAST 	WI	Milwaukee          	MU           	Marquette University                                      	https://gomarquette.com/sports/mens-tennis	MarquetteMTEN	marquettemten	MarquetteMTEN	https://goo.gl/maps/ZcQ12pqYJmUCFVRr7
d1  	men  	BIG EAST 	NY	Queens             	SJ           	Saint John's University                                   	https://redstormsports.com/sports/mens-tennis	StJohnsMTennis	stjohnsmtennis	stjohnstennis	https://goo.gl/maps/PRk4j9282uDH3WUJ6
d1  	men  	BIG EAST 	PA	Villanova          	Nova         	Villanova University                                      	https://villanova.com/sports/mens-tennis	NovaMensTennis	novamenstennis	VillanovaAthletics	https://goo.gl/maps/aQEmw2eyk66Z4J3J7
d1  	men  	BIG EAST 	OH	Cincinnati         	XU           	Xavier University                                         	https://goxavier.com/sports/mens-tennis	XavierMTEN	xaviermenstennis	xutennis	https://goo.gl/maps/o8FL28PTyAGTidKw5
d1  	men  	BSC      	WA	Cheney             	EWU          	Eastern Washington University                             	https://goeags.com/sports/mens-tennis	EWUAthletics	ewu_mtennis	ewumenstennis	https://goo.gl/maps/AqTiw7H9TpDaiqPx8
d1  	men  	BSC      	ID	Moscow             	UI           	University of Idaho                                       	https://govandals.com/sports/mens-tennis	vandalstennis	vandals_tennis	Vandalstennis	https://goo.gl/maps/SZUeYgiiv8UcuX1CA
d1  	men  	BSC      	ID	Pocatello          	ISU          	Idaho State University                                    	https://isubengals.com/index.aspx?path=mten	IdahoStateMTEN	isu_menstennis	IdahoStTennis	https://goo.gl/maps/YjMi6CgdNGzRLfPu6
d1  	men  	BSC      	MT	Missoula           	UM           	University of Montana                                     	https://gogriz.com/sports/mens-tennis	MontanaGrizTEN	montanagriztennis	MontanaGrizTEN	https://goo.gl/maps/Pujnb173jrzSwwAeA
d1  	men  	BSC      	MT	Bozeman            	MSU          	Montana State University                                  	https://msubobcats.com/sports/mens-tennis	msumenstennis	msumenstennis	MSUBobcatsTEN	https://goo.gl/maps/uoXiGnA97SD9mkpA7
d1  	men  	BSC      	AZ	Flagstaff          	NAU          	Northern Arizona University                               	https://nauathletics.com/sports/mens-tennis	NAUMensTennis	nau.menstennis	NAU.MensTennis	https://goo.gl/maps/VeZtubJwzF6ywWyV7
d1  	men  	BSC      	CO	Greely             	UNC          	University of Northern Colorado                           	https://uncbears.com/sports/mens-tennis	UNC_BearsMTen	unc_bears	UNCBearsMTen	https://goo.gl/maps/v6T4XEo3otL8FWYi9
d1  	men  	BSC      	OR	Portland           	PSU          	Portland State University                                 	https://g.page/VancouverTennisCenter?share	psuviksMTN	psuviksmtn	psuviksmtn	
d1  	men  	BSC      	CA	Sacramento         	SacState     	Sacramento State University                               	https://www.hornetsports.com/sports/mten/index	sacstatemtennis	sacstatemtennis	Sacramento-State-Mens-Tennis-281161629186103	https://goo.gl/maps/PTuuTcpX6GZu8nQo7
d1  	men  	BSC      	UT	Ogden              	WSU          	Weber State University                                    	https://weberstatesports.com/sports/mens-tennis	WSUTennis	weberstatetennis	WeberStateTennis	https://goo.gl/maps/vsmC3ekrmkbJVks66
d1  	men  	Big South	NC	Buies Creek        	CU           	Campbell University                                       	https://gocamels.com/sports/mens-tennis	GoCamelsTennis	gocamelsmtennis	cutennis	https://goo.gl/maps/TF75KTBjDRgLvn5h8
d1  	men  	Big South	NC	Boiling Springs    	GWU          	Gardner-Webb University                                   	https://gwusports.com/sports/mens-tennis	GWUMTEN	gwusports	GWUMensTennis	https://goo.gl/maps/2hm1x8NxK9TQ4MY76
d1  	men  	Big South	VA	Hampton            	             	Hampton University                                        	https://hamptonpirates.com/sports/mens-tennis	HamptonU_Tennis	hamptontennis	HamptonUniversityAthletics	https://goo.gl/maps/oaifdUneeAjwBCPe7
d1  	men  	Big South	VA	Farmville          	LU           	Longwood University                                       	https://longwoodlancers.com/sports/mens-tennis	Longwood_Tennis	longwoodtennisofficial	Longwood-University-Mens-Tennis-506609146187117	https://goo.gl/maps/zRa2cBqQ68H2bge98
d1  	men  	Big South	SC	Clinton            	PC           	Presbyterian College                                      	https://g.page/presbyterian-college-sc?share	BlueHoseSports	bluehosesports	Presbyterian-College-Mens-Tennis-135091409883192	
d1  	men  	Big South	VA	Radford            	             	Radford University                                        	https://radfordathletics.com/sports/mens-tennis	RadfordMTennis	radfordmtennis	RadfordMensTennis	https://goo.gl/maps/FJxjWQg1UwDtFK2fA
d1  	men  	Big South	NC	Asheville          	UNC-Asheville	University of North Carolina at Asheville                 	https://g.page/ARCDT?share	UNCAvlBulldogs	uncavlbulldogs	UNCAvlMTennis	
d1  	men  	B1G      	IL	Champaign          	UofI         	University of Illinois                                    	https://fightingillini.com/sports/mens-tennis	IlliniMTennis	illinimtennis	IlliniMTennis	https://goo.gl/maps/mQwbYKnr6NNPWZSr8
d1  	men  	B1G      	IN	Bloomington        	IU           	Indiana University                                        	https://iuhoosiers.com/sports/mens-tennis	IndianaMTennis	indianamtennis	IndianaMTennis	https://goo.gl/maps/Lm7wWyS3dGfcNztWA
d1  	men  	B1G      	IA	Iowa City          	             	University of Iowa                                        	https://hawkeyesports.com/sports/mten	IowaMensTennis	iowamenstennis	IowaMensTennis	https://goo.gl/maps/wnL2yk72PSCHRrUw9
d1  	men  	B1G      	MI	Ann Arbor          	UM           	University of Michigan                                    	https://mgoblue.com/sports/mens-tennis	umichtennis	umichmtennis	MichiganTennis	https://goo.gl/maps/HcHNW3uJDe3kUTAK6
d1  	men  	B1G      	MI	East Lansing       	MSU          	Michigan State University                                 	https://msuspartans.com/sports/mens-tennis	MSU_Tennis	msu_tennis	MichiganStateTennis	https://goo.gl/maps/tvcZiyyXhu4KnkHX9
d1  	men  	B1G      	MN	Minneapolis        	             	University of Minnesota                                   	https://gophersports.com/sports/mens-tennis	GopherMTennis	gophermenstennis	GopherMensTennis	https://goo.gl/maps/CsoSwgCygHJa814z9
d1  	men  	B1G      	NE	Lincoln            	             	University of Nebraska                                    	https://huskers.com/sports/mens-tennis	huskermtennis	huskermtennis	huskermtennis	https://goo.gl/maps/U61bZrhLoSiMoF7M7
d1  	men  	B1G      	IL	Evanston           	NU           	Northwestern University                                   	https://nusports.com/sports/mens-tennis	NUMensTennis	nu_sports	NorthwesternMTennis	https://goo.gl/maps/9YLEJCA1qBWGppP5A
d1  	men  	B1G      	OH	Columbus           	OSU          	Ohio State University                                     	https://ohiostatebuckeyes.com/sports/m-tennis	OhioStateMTEN	ohiostatemten	osutennis	https://goo.gl/maps/Nv96Me9bb3tgmRYq9
d1  	men  	B1G      	PA	University Park    	PSU          	Penn State University                                     	https://gopsusports.com/sports/mens-tennis	pennstateMTEN	psumten	pennstatemenstennis	https://goo.gl/maps/n2Y8txeTo8ar5vpH9
d1  	men  	B1G      	IN	Wet Lafayette      	PU           	Purdue University                                         	https://purduesports.com/sports/mens-tennis	PurdueMTennis	purduemtennis	PurdueMensTennis	https://goo.gl/maps/DtPaSAXGpeAJDbe86
d1  	men  	B1G      	WI	Madison            	UW           	University of Wisconsin                                   	https://uwbadgers.com/sports/mens-tennis	BadgerMTennis	wisconsintennis	wisconsinmenstennis	https://goo.gl/maps/wffazdmYpb7mLh8H8
d1  	men  	BWC      	CA	San Luis Obispo    	Cal Poly     	California Polytechnic State University                   	https://www.gopoly.com/sports/mten/index	calpolymtennis	calpolymenstennis	cptennis	https://goo.gl/maps/p3RS9yU8NM9wdVzh8
d1  	men  	BWC      	HI	Honolulu           	UH           	University of Hawaii                                      	https://hawaiiathletics.com/sports/mens-tennis	UofHawaiiTennis	uhwarriortennis	RainbowWarriorTennis	https://goo.gl/maps/VcRVVxzzkMt9wpMp7
d1  	men  	BWC      	CA	Davis              	             	University of California, Davis                           	https://ucdavisaggies.com/sports/mens-tennis	ucdavismtennis	ucdavismtennis	ucdavismtennis	https://goo.gl/maps/iARKpzZ7xfG24iNR8
d1  	men  	BWC      	CA	Irvine             	UCI          	University of California, Irvine                          	https://ucirvinesports.com/sports/mens-tennis	UCImten	ucimten	UCImten	https://goo.gl/maps/KiCmavNhzqpP4m8V7
d1  	men  	BWC      	CA	Riverside          	UCR          	University of California, Riverside                       	https://gohighlanders.com/sports/mens-tennis	UCR_Athletics	ucr_menstennis	UC-Riverside-Mens-Tennis-215912715199692	https://goo.gl/maps/2ZkrACiZVqdDZVJY8
d1  	men  	BWC      	CA	Santa Barbara      	UCSB         	University of California, Santa Barbara                   	https://www.ucsbgauchos.com/sports/m-tennis/index	ucsbtennis	ucsb_tennis	UC-Santa-Barbara-Mens-Tennis-641923805872615	https://goo.gl/maps/4T5o1Uh8GVNn7WuDA
d1  	men  	BWC      	CA	La Jolla           	UCSD         	University of California, San Diego                       	https://ucsdtritons.com/sports/mens-tennis	UCSDmtennis	ucsdmtennis	UCSDTritons	https://goo.gl/maps/m6Kev63cXUxwUiaYA
d1  	men  	CAA      	SC	Charleston         	CofC         	College of Charleston                                     	https://cofcsports.com/sports/mens-tennis	CofCMTennis	cofcmenstennis	cofcmenstennis	https://goo.gl/maps/f31qPzYe68VLVsg77
d1  	men  	CAA      	DE	Newark             	UD           	University of Delaware                                    	https://bluehens.com/sports/mens-tennis	DelawareMTEN	delawaremten	UDBlueHens	https://goo.gl/maps/gYQBEtZmrL8m224h9
d1  	men  	CAA      	PA	Philadelphia       	DU           	Drexel University                                         	https://drexeldragons.com/sports/mens-tennis	DrexelTennis	drexeltennis	DrexelUniversityTennis	https://goo.gl/maps/S7XzNxvunjWGXWVf7
d1  	men  	CAA      	NC	Elon               	             	Elon University                                           	https://elonphoenix.com/sports/mens-tennis	ElonMTennis	elonmtennis	ElonMTennis	https://goo.gl/maps/YoFzLmc4TXCgUCZq8
d1  	men  	CAA      	NY	Hempstead          	HU           	Hofstra University                                        	https://gohofstra.com/sports/mens-tennis	HofstraTennis1	hofstratennis1	hofstratennis1	https://goo.gl/maps/M69GwU5vCbhJCP376
d1  	men  	CAA      	VA	Harrisonburg       	JMU          	James Madison University                                  	https://jmusports.com/sports/mens-tennis	JMUMTennis	jmumtennis	JmuMensTennis	https://goo.gl/maps/75snnoiCTE8LtCRx6
d1  	men  	CAA      	NC	Wilmington         	UNCW         	University of North Carolina at Wilmington                	https://uncwsports.com/sports/mens-tennis	uncwmenstennis	uncw_mens_tennis	UNCWMensTennis	https://goo.gl/maps/vDVYMiVtuj711rHQ6
d1  	men  	CAA      	VA	Williamsburg       	WM           	College of William & Mary                                 	https://tribeathletics.com/sports/mens-tennis	WMTribeMTennis	wmtribemtennis	WMTribeMTennis	https://goo.gl/maps/4xShDz7saUUPFTfXA
d1  	men  	C-USA    	NC	Charlotte          	             	University of North Carolina at Charlotte                 	https://charlotte49ers.com/sports/mens-tennis	CharlotteMTen	charlottemenstennis	49ersMTennis	https://goo.gl/maps/9guTs4W2iVnaWBzHA
d1  	men  	C-USA    	FL	Boca Raton         	FAU          	Florida Atlantic University                               	https://fausports.com/sports/mens-tennis	FAUMTennis	faumtennis	FauMensTennisTeam	https://goo.gl/maps/YVmucLi6tfdYzRvf8
d1  	men  	C-USA    	TN	Murfreesboro       	MTSU         	Middle Tennessee State University                         	https://goblueraiders.com/sports/mens-tennis	MT_MensTennis	blueraiderstennis	BlueRaiderMensTennis	https://goo.gl/maps/QqnMmuGabfoWoa8e6
d1  	men  	C-USA    	VA	Norfolk            	ODU          	Old Dominion University                                   	https://odusports.com/sports/mens-tennis	ODUMensTennis	odumtennis	OldDominionMensTennis	https://goo.gl/maps/7SjktVwqeEakLhDQ8
d1  	men  	C-USA    	TX	Houston            	             	Rice University                                           	https://riceowls.com/sports/mens-tennis	RiceTennis	ricemtennis	RiceMTennis	https://goo.gl/maps/ggsZGWqKedDJTuRd8
d1  	men  	C-USA    	MS	Hattiesburg        	Southern Miss	University of Southern Mississippi                        	https://southernmiss.com/sports/mens-tennis	SouthernMissMTN	southernmissathletics	Southern-Miss-Mens-Tennis-Team-103748006363851	https://goo.gl/maps/AFaD75CKZiY7kB779
d1  	men  	C-USA    	AL	Birmingham         	UAB          	University of Alabama at Birmingham                       	https://uabsports.com/sports/mens-tennis	UAB_MTN	uab_mtennis	uabmenstennis	https://goo.gl/maps/ZGQRxHLgUMzmuyKj9
d1  	men  	C-USA    	TX	San Antonio        	UTSA         	University of Texas, San Antonio                          	https://goutsa.com/index.aspx?path=mten	UTSAMT	utsamt	UTSAMT	https://www.google.com/maps/place/Tennis+Courts,+Walter+Brennan+Avenue,+San+Antonio,+TX+78249/@29.586259,-98.621736,16z/data=!4m2!3m1!1s0x0:0xbf4d64a64f1f7b35
d1  	men  	         	OH	Cleveland          	CSU          	Cleveland State University                                	https://www.csuvikings.com/sports/m-tennis/index	CSU_MTennis	csu_athletics	Cleveland-State-Tennis-199225610092066	https://goo.gl/maps/gxevR1qefvxZ4hAQ7
d1  	men  	         	IN	Indianapolis       	IUPUI        	Indiana University-Purdue University Indianapolis         	https://g.page/WestIndy?share	IUPUIMensTennis	iupuitennis	IUPUIMensTennis	
d1  	men  	         	IL	Chicago            	UIC          	University of Illinois, Chicago                           	https://uicflames.com/sports/mens-tennis	uicmenstennis	uicmenstennis	OfficialUICFlames	https://goo.gl/maps/uEgigEbikiXGE4bm9
d1  	men  	         	KY	Highland Heights   	NKU          	Northern Kentucky University                              	https://nkunorse.com/sports/mens-tennis	NKUNorseTennis	nkutennis	nkunorsetennis	https://goo.gl/maps/fxHYnrZmqTfzbppo6
d1  	men  	         	OH	Youngstown         	YSU          	Youngstown State University                               	https://www.ysusports.com/sports/mten/index	ysumenstennis	ysumenstennis	ysumenstennis	https://goo.gl/maps/UtruHihPEZzCGLkQ6
d1  	men  	IL       	RI	Providence         	BU           	Brown University                                          	https://brownbears.com/sports/mens-tennis	brownmenstennis	brownmenstennis	brownmenstennis	https://goo.gl/maps/s7iN8cGofYRDwgHf6
