---
tournaments: 375
withResults: 294
completed: 335
inProgress: 30
future: 10
events: 831
entrants: 22528
results: 33510
---
week	code	players	events	results	starts	ends	divisions	gender	name	organization	url
37	21-41355	 31	2	 57	2021-09-17	2021-09-19	DI                	M	Jersey Mike's Seahawk Fall Invitational	UNC Wilmington (M)	https://colleges.wearecollegetennis.com/competitions/UNCWilmingtonM/Tournaments/Overview/B5F60616-E79D-49E3-B226-EA1A8F6D19C9
37	21-22672	 16	2	 23	2021-09-17	2021-09-19	DI                	M	Lakes Tennis Club Invite	University Of Oklahoma (M)	https://colleges.wearecollegetennis.com/competitions/UniversityOfOklahomaM/Tournaments/Overview/C4392CA9-3D72-477E-9550-4FE92C5723E8
37	21-40280	 34	3	 70	2021-09-18	2021-09-19	DI                	M	Lehigh Men's Tennis Invite	Lehigh University (M)	https://colleges.wearecollegetennis.com/competitions/LehighUniversityM/Tournaments/Overview/DC12F12F-6866-4F1B-A1DE-CB27F27A4E6F
37	21-42923	 33	2	 31	2021-09-17	2021-09-18	DI                	W	Lynn Stevens Invite	Coastal Carolina University (W)	https://colleges.wearecollegetennis.com/competitions/CoastalCarolinaUniversityW/Tournaments/Overview/74919BE2-BE17-4E9F-8752-0E9BA855D125
37	21-75794	 63	2	140	2021-09-17	2021-09-19	DI                	M	Men's Drake Invite	Drake University (M)	https://colleges.wearecollegetennis.com/competitions/DrakeUniversityM/Tournaments/Overview/85AE0B8E-86E0-4EAE-A572-CE5DC0BA3FB7
37	21-02376	 71	4	131	2021-09-18	2021-09-20	DI                	MW	Milwaukee Tennis Classic	ITA	https://colleges.wearecollegetennis.com/competitions/ITA/Tournaments/Overview/4310416C-7EB8-49BC-9A59-895CD6BEE8F8
37	21-47655	 47	2	127	2021-09-17	2021-09-19	DI                	W	NMSU Women's Aggie Invite	New Mexico State University (W)	https://colleges.wearecollegetennis.com/competitions/NewMexicoStateUniversityW/Tournaments/Overview/AF0C9E05-93DF-4088-A5CF-0B35FDCDBA9C
37	21-91661	  6	2	   	2021-09-17	2021-09-19	DI                	M	OSU Invitational	Oklahoma State University (M)	https://colleges.wearecollegetennis.com/competitions/OklahomaStateUniversityM/Tournaments/Overview/D4F405A0-9744-41D5-B40A-884B0F1AADEF
37	21-89457	 57	2	   	2021-09-17	2021-09-19	DI                	M	Penn Invitational	Univ. Of Pennsylvania (M)	https://colleges.wearecollegetennis.com/competitions/UnivOfPennsylvaniaM/Tournaments/Overview/D340CAAE-2400-4107-B71A-028FCF6F67DA
37	21-96062	 41	2	 61	2021-09-17	2021-09-19	DI                	M	Purdue Fall Invitational	Purdue University (M)	https://colleges.wearecollegetennis.com/competitions/PurdueUniversityM/Tournaments/Overview/64471B4A-D6CD-4810-BD4A-167F65AB8D67
37	21-14835	 35	2	 57	2021-09-17	2021-09-19	DI                	W	QU Hidden Duals At Uconn	Quinnipiac University (W)	https://colleges.wearecollegetennis.com/competitions/QuinnipiacUniversityW/Tournaments/Overview/F352A24E-56EB-425C-87BE-6168A5386737
37	21-33894	 97	2	168	2021-09-17	2021-09-19	DI                	W	Redbird Invitational	Illinois State University (W)	https://colleges.wearecollegetennis.com/competitions/IllinoisStateUniversityW/Tournaments/Overview/1C326774-DC63-4687-A38F-F4CEEC065C15
37	21-12886	 50	3	112	2021-09-17	2021-09-19	DI                	M	The Star Group Binghamton Championships	Binghamton University (SUNY) (M)	https://colleges.wearecollegetennis.com/competitions/BinghamtonUniversitySUNYM/Tournaments/Overview/45217160-5C07-4F1E-8FB5-6C5FBC28805F
37	21-22637	 71	2	   	2021-09-17	2021-09-18	DI                	W	University of Central Arkansas Fall Invitational	Univ. Of Central Arkansas (W)	https://colleges.wearecollegetennis.com/competitions/UnivOfCentralArkansasW/Tournaments/Overview/903094F6-5088-4464-9EC7-3100A890BE88
37	21-41928	 30	2	 57	2021-09-17	2021-09-18	DI                	W	University of Cincinnati/Pam Whitehead Fall Invitational	University Of Cincinnati (W)	https://colleges.wearecollegetennis.com/competitions/UniversityOfCincinnatiW/Tournaments/Overview/2AC37E0E-BC70-43E0-AC4B-A8D6589AEE02
37	21-02168	 35	2	 63	2021-09-17	2021-09-19	DI                	W	UVA Invitational	University Of Virginia (W)	https://colleges.wearecollegetennis.com/competitions/UniversityOfVirginiaW/Tournaments/Overview/C8B138D1-65A1-4A21-BF46-12614579945A
37	21-72279	105	2	   	2021-09-18	2021-09-19	DII,DIII,NAIA,JUCO	M	2021 MAC Men's Tennis Individual Championship	ITA	https://colleges.wearecollegetennis.com/competitions/ITA/Tournaments/Overview/B42D73CC-D8D1-44BE-9EC5-36F6F09D2A2D
37	21-94974	120	4	129	2021-09-16	2021-09-17	DII,DIII,NAIA,JUCO	MW	BAC Invitational	Belmont Abbey College (M)	https://colleges.wearecollegetennis.com/competitions/BelmontAbbeyCollegeM/Tournaments/Overview/552FF54B-FAB3-426B-A825-9862C725D095
37	21-96874	 61	2	 91	2021-09-15	2021-09-16	DII,DIII,NAIA,JUCO	W	Battle of the Blue Ridge, Weekend One	Sweet Briar College (W)	https://colleges.wearecollegetennis.com/competitions/SweetBriarCollegeW/Tournaments/Overview/4FB76F6F-BB1C-4A77-92A3-CC5A5BFD60A4
37	21-52871	 38	2	 61	2021-09-18	2021-09-19	DII,DIII,NAIA,JUCO	W	Big Red Invitational	Denison University (W)	https://colleges.wearecollegetennis.com/competitions/DenisonUniversityW/Tournaments/Overview/8C55E0CC-605C-4584-8311-FA3093162009
37	21-72013	104	2	194	2021-09-18	2021-09-20	DII,DIII,NAIA,JUCO	M	Division II Men’s Atlantic ITA Regional Championships	Bloomsburg University (M)	https://colleges.wearecollegetennis.com/competitions/BloomsburgUniversityM/Tournaments/Overview/1612DF81-297F-4862-94B4-0C79FB985493
37	21-87113	 85	2	 59	2021-09-17	2021-09-20	DII,DIII,NAIA,JUCO	M	Division II Men’s East ITA Regional Championships	Queens College/NY (M)	https://colleges.wearecollegetennis.com/competitions/QueensCollegeNYM/Tournaments/Overview/B67A83DC-6851-4AC2-B7A6-28ED5F92F065
37	21-70129	 92	2	104	2021-09-17	2021-09-20	DII,DIII,NAIA,JUCO	W	Division II Women's East ITA Regional Championships	Queens College/NY (M)	https://colleges.wearecollegetennis.com/competitions/QueensCollegeNYM/Tournaments/Overview/29DA318D-C2C0-42F4-9D66-161D164776E0
37	21-14491	153	2	210	2021-09-18	2021-09-20	DII,DIII,NAIA,JUCO	W	Division II Women's Midwest ITA Regional Championships	Univ. Of Indianapolis (W)	https://colleges.wearecollegetennis.com/competitions/UnivOfIndianapolisW/Tournaments/Overview/512F0B87-0C08-4030-A3A0-82FA105D9E04
37	21-38421	   	 	   	2021-09-17	2021-09-19	DII,DIII,NAIA,JUCO		Division II Women's Midwest ITA Regional Small College Championships	ITA	https://colleges.wearecollegetennis.com/competitions/ITA/Tournaments/Overview/1BDBB00A-75CA-450C-80D6-31690EE820BC
37	21-72414	 76	2	136	2021-09-17	2021-09-20	DII,DIII,NAIA,JUCO	M	Division III Men's Northwest ITA Regional Championships	George Fox University (M)	https://colleges.wearecollegetennis.com/competitions/GeorgeFoxUniversityM/Tournaments/Overview/293CC684-E897-42E1-A5D8-010605E71990
37	21-29173	 85	2	119	2021-09-18	2021-09-20	DII,DIII,NAIA,JUCO	W	Division III Women's Northeast ITA Regional Championships	William Smith College (W)	https://colleges.wearecollegetennis.com/competitions/WilliamSmithCollegeW/Tournaments/Overview/BB0D8E68-8836-494F-934E-F38C52818CC8
37	21-23893	   	2	   	2021-09-18	2021-09-19	DII,DIII,NAIA,JUCO	M	Dutchmen Invitational	Union College/NY (M)	https://colleges.wearecollegetennis.com/competitions/UnionCollegeNYM/Tournaments/Overview/8309738E-9EAA-4A18-8DD4-E29ECE3CA14A
37	21-51274	 40	2	 60	2021-09-19	2021-09-19	DII,DIII,NAIA,JUCO	M	Firebird Challenge	Carthage College (M)	https://colleges.wearecollegetennis.com/competitions/CarthageCollegeM/Tournaments/Overview/0360BE02-00EA-4704-B66F-2ED3ACEF18A1
37	21-76336	143	4	176	2021-09-17	2021-09-18	DII,DIII,NAIA,JUCO	MW	GPAC Individual	College Of Saint Mary (W)	https://colleges.wearecollegetennis.com/competitions/CollegeOfSaintMaryW/Tournaments/Overview/ED2D6427-4EEF-4B11-B240-D89A941AB892
37	21-30014	 36	2	 63	2021-09-17	2021-09-18	DII,DIII,NAIA,JUCO	W	Javalina Fall Quad	Texas A&M University Kingsville (W)	https://colleges.wearecollegetennis.com/competitions/TexasAMUniversityKingsvilleW/Tournaments/Overview/598273F2-FD41-4282-9467-EFD6330C79CC
37	21-84230	 33	2	 40	2021-09-18	2021-09-19	DII,DIII,NAIA,JUCO	M	Limestone Men's Challenger	Limestone University (M)	https://colleges.wearecollegetennis.com/competitions/LimestoneUniversityM/Tournaments/Overview/BD22EB5E-C006-486B-9907-D53E0DC6FA01
37	21-80794	 63	2	113	2021-09-17	2021-09-19	DII,DIII,NAIA,JUCO	W	Methodist University Women's Fall Invitational	Methodist University (W)	https://colleges.wearecollegetennis.com/competitions/MethodistUniversityW/Tournaments/Overview/4FFAB7FF-537E-4837-8CBB-5347D9DABA5B
37	21-64248	 75	2	108	2021-09-18	2021-09-19	DII,DIII,NAIA,JUCO	M	Middlebury Invitational 2021	Middlebury College (M)	https://colleges.wearecollegetennis.com/competitions/MiddleburyCollegeM/Tournaments/Overview/97C4AA58-56BC-46A0-8287-9B7C41BD76A7
37	21-01963	 41	2	 79	2021-09-17	2021-09-19	DII,DIII,NAIA,JUCO	W	MIT Invitational	Massachusetts Inst. Of Tech. (W)	https://colleges.wearecollegetennis.com/competitions/MassachusettsInstOfTechW/Tournaments/Overview/05E528B1-8ECB-4C54-A76C-F650CD3C02F5
37	21-21828	126	4	178	2021-09-16	2021-09-20	DII,DIII,NAIA,JUCO	MW	NAIA Men's & Women’s Florida ITA Regional Championships	Keiser University (M)	https://colleges.wearecollegetennis.com/competitions/KeiserUniversityM/Tournaments/Overview/4B516E18-53A8-4B82-AE62-AAC7E7DB66DF
37	21-84466	 80	4	123	2021-09-17	2021-09-19	DII,DIII,NAIA,JUCO	MW	NAIA Men's & Women’s South ITA Regional Championships	Georgia Gwinnett College (M)	https://colleges.wearecollegetennis.com/competitions/GeorgiaGwinnettCollegeM/Tournaments/Overview/AB87DC72-EBD1-473D-908A-61D759A5EEAC
37	21-35477	 60	2	 93	2021-09-16	2021-09-19	DII,DIII,NAIA,JUCO	W	NAIA Women's Southeast ITA Regional Championships	Georgetown College (W)	https://colleges.wearecollegetennis.com/competitions/GeorgetownCollegeW/Tournaments/Overview/36332785-C639-48F2-A06A-5543C8F1D920
37	21-07562	 59	2	   	2021-09-17	2021-09-19	DII,DIII,NAIA,JUCO	W	PP/CMS Invite	Pomona-Pitzer Colleges (W)	https://colleges.wearecollegetennis.com/competitions/PomonaPitzerCollegesW/Tournaments/Overview/BC47952D-E142-470A-B007-2BBF9E509BD7
37	21-26119	 40	2	 70	2021-09-18	2021-09-19	DII,DIII,NAIA,JUCO	M	Royal Rumble	Queens Univ. Of Charlotte (M)	https://colleges.wearecollegetennis.com/competitions/QueensUnivOfCharlotteM/Tournaments/Overview/67714FC2-D877-4289-8C05-BF5579870039
37	21-60316	 39	2	 71	2021-09-18	2021-09-19	DII,DIII,NAIA,JUCO	W	Swat Invite	Swarthmore College (W)	https://colleges.wearecollegetennis.com/competitions/SwarthmoreCollegeW/Tournaments/Overview/73C8A321-A4B9-463E-BDCF-097B5F19F2D7
37	21-19682	 39	2	   	2021-09-14	2021-09-15	DII,DIII,NAIA,JUCO	M	Swat Men's Tennis Invite	Swarthmore College (M)	https://colleges.wearecollegetennis.com/competitions/SwarthmoreCollegeM/Tournaments/Overview/EBF37285-C88B-4F3E-B6EA-6C0DE013DBB8
37	21-44752	 37	2	 78	2021-09-17	2021-09-18	DII,DIII,NAIA,JUCO	M	Trinity Invitational	Trinity University (M)	https://colleges.wearecollegetennis.com/competitions/TrinityUniversityM/Tournaments/Overview/CC4630A5-B838-48AE-83FD-363FF44D005F
37	21-47082	   	 	   	2021-09-17	2021-09-18	DII,DIII,NAIA,JUCO		Union College Invitational	Union College/NY (W)	https://colleges.wearecollegetennis.com/competitions/UnionCollegeNYW/Tournaments/Overview/CC1BDA33-7E37-4853-AD68-D6DDE7A3A858
38	21-72007	 92	2	150	2021-09-24	2021-09-26	DI                	W	2021 Cal Fall Invitational	Univ. Of California, Berkeley (W)	https://colleges.wearecollegetennis.com/competitions/UnivOfCaliforniaBerkeleyW/Tournaments/Overview/2E9EA7B8-64A7-4FE7-8D8D-ED1A10E8D31D
38	21-92191	 42	2	 93	2021-09-24	2021-09-26	DI                	W	2021 Cougar Classic	Washington State Univ. (W)	https://colleges.wearecollegetennis.com/competitions/WashingtonStateUnivW/Tournaments/Overview/9A9D66AE-29DF-4655-8EE8-5EF2ECFA897B
38	21-07919	 89	2	187	2021-09-24	2021-09-26	DI                	W	Bedford Cup	University Of Maryland/College Park (W)	https://colleges.wearecollegetennis.com/competitions/UniversityOfMarylandCollegeParkW/Tournaments/Overview/8A78BA09-B02F-4068-AC07-16F05B3F86EB
38	21-10883	 61	2	165	2021-09-23	2021-09-26	DI                	W	Bedford Cup in the Mountains	U.S. Air Force Academy (W)	https://colleges.wearecollegetennis.com/competitions/USAirForceAcademyW/Tournaments/Overview/44119D33-0728-4FB2-8652-70606D860005
38	21-68010	 52	2	 68	2021-09-24	2021-09-25	DI                	W	Bethany Moore Invitational	Ball State University (W)	https://colleges.wearecollegetennis.com/competitions/BallStateUniversityW/Tournaments/Overview/9CD0F50F-A060-4554-94BC-D6D303944F81
38	21-97501	 79	4	140	2021-09-24	2021-09-25	DI                	MW	Bluejay Invite	Creighton University (W)	https://colleges.wearecollegetennis.com/competitions/CreightonUniversityW/Tournaments/Overview/9CFAB6A8-8E2B-42E6-9D2D-9A4EECB3CAEB
38	21-15825	 65	2	146	2021-09-26	2021-09-29	DI                	M	Bobby Bayliss Invitational	University Of Notre Dame (M)	https://colleges.wearecollegetennis.com/competitions/UniversityOfNotreDameM/Tournaments/Overview/772A5D00-C1F2-4758-8876-D10A5F7DA5EF
38	21-92623	 38	2	 66	2021-09-24	2021-09-26	DI                	W	Bulldog Invitational	Yale University (W)	https://colleges.wearecollegetennis.com/competitions/YaleUniversityW/Tournaments/Overview/B0EA1FCD-5136-410D-8A03-B6DC9B64967D
