---
tournaments: 117
players: 3031
matches: 4929
completed: 4859
scheduled: 70
---
tournamentCode	eventId	drawId	bracketId	roundId	winner	player1	partner1	player2	partner2	round	seed1	line1	seed2	line2	score
21-02393	1	1	1	4	1	ai36do		t93fvf		QF		Isabella Tiscornia		Joanna Stralka	62 Ret.
21-02393	1	1	1	3	1	o44m8y		9kauua		16		Prinkle Singh		Nuria Martin Lopez	62 61
21-02393	1	1	1	3	1	6aeoqk		kst0zq		16		Karolin Kirchtag		Barbara Balancho	64 62
21-02393	1	1	1	3	1	nt856b		96dqvs		16		AlexiAnn Drouin		Natasha Munday	67(4) 62 [9]
21-02393	1	1	1	3	1	1xbj7b		377pb1		16		Katy Graydon		Adriana Gonzalez Sa…	61 64
21-02393	1	1	1	3	1	ob8n6t		m2vil4		16		Kayla Dean		Lydia Vlachou	64 64
21-02393	1	1	1	3	1	wdln53		2jajwd		16		Lois Page		Emma Arnal	36 64 [8]
21-02393	1	1	1	3	1	ai36do		u834xi		16		Isabella Tiscornia		Idoia Huerta Gallar…	76(4) 63
21-02393	1	1	1	3	1	t93fvf		24262q		16		Joanna Stralka		Evelina Martirosyan	63 36 [8]
21-02393	1	1	1	2	1	o44m8y		yn0jux		32		Prinkle Singh		Candela Sevilla	61 60
21-02393	1	1	1	2	1	9kauua		wxqdgz		32		Nuria Martin Lopez		Tori Alexander	60 60
21-02393	1	1	1	2	1	6aeoqk		rq16rs		32		Karolin Kirchtag		Ghita Courdi	61 62
21-02393	1	1	1	2	1	kst0zq		4cropu		32		Barbara Balancho		Ericka Nathalia Val…	64 62
21-02393	1	1	1	2	1	96dqvs		6jx5tx		32		Natasha Munday		Ainara Pastor	63 62
21-02393	1	1	1	2	1	nt856b		tdhrtn		32		AlexiAnn Drouin		Shreya Chakraborty	Walkover
21-02393	1	1	1	2	1	377pb1		83n1v5		32		Adriana Gonzalez Sa…		Naomi Jahr	60 61
21-02393	1	1	1	2	1	1xbj7b		oi1q7g		32		Katy Graydon		Rafaella Negrao De …	60 62
21-02393	1	1	1	2	1	m2vil4		1zm30d		32		Lydia Vlachou		Isadora Matos	64 61
21-02393	1	1	1	2	1	ob8n6t		etrvrf		32		Kayla Dean		Rea Hagishima	76(10) 61
21-02393	1	1	1	2	1	2jajwd		n6sk4g		32		Emma Arnal		Gabriela Del Val De…	62 63
21-02393	1	1	1	2	1	wdln53		836rg9		32		Lois Page		Davica Massaro	63 62
21-02393	1	1	1	2	1	u834xi		v7sv2d		32		Idoia Huerta Gallar…		Mackenzie Sorton	61 62
21-02393	1	1	1	2	1	ai36do		rdln53		32		Isabella Tiscornia		Nadja Ostojic	60 62
21-02393	1	1	1	2	1	24262q		eh1f9j		32		Evelina Martirosyan		Haarini Balakrishnan	67(4) 62 [7]
21-02393	1	1	1	2	1	t93fvf		cnht9t		32		Joanna Stralka		Lorena Pintar	62 61
21-02393	1	1	1	1	1	yn0jux		y9kpab		64		Candela Sevilla		Alexis Quackenbush	75 63
21-02393	1	1	1	1	1	wxqdgz		6q5238		64		Tori Alexander		Immanuella Odiong	61 60
21-02393	1	1	1	1	1	rq16rs		3n0jux		64		Ghita Courdi		Jasmine Shaw-Morris	60 63
21-02393	1	1	1	1	1	kst0zq		ekpo3y		64		Barbara Balancho		Valentine Budin	62 63
21-02393	1	1	1	1	1	6jx5tx		dii0mc		64		Ainara Pastor		Elaina Lee	62 63
21-02393	1	1	1	1	1	tdhrtn		jo9cju		64		Shreya Chakraborty		Gemma Cliffe	60 67(7) [9]
21-02393	1	1	1	1	1	83n1v5		ti1q7g		64		Naomi Jahr		Taylour Newman	62 61
21-02393	1	1	1	1	1	1xbj7b		fl69gr		64		Katy Graydon		Julia Lif	64 63
21-02393	1	1	1	1	1	oi1q7g		uktkfe		64		Rafaella Negrao De …		Julia Pinto	64 62
21-02393	1	1	1	1	1	1zm30d		navy5g		64		Isadora Matos		Eloise Hutton	64 62
21-02393	1	1	1	1	1	etrvrf		pn0jux		64		Rea Hagishima		Sai Sakamoto	Walkover
21-02393	1	1	1	1	1	n6sk4g		fttbxn		64		Gabriela Del Val De…		Roisin Murphy	62 63
21-02393	1	1	1	1	1	2jajwd		6nj9f1		64		Emma Arnal		Anisha Thada	60 60
21-02393	1	1	1	1	1	836rg9		2jzlz5		64		Davica Massaro		Julie Wallace	62 64
21-02393	1	1	1	1	1	v7sv2d		k91zp7		64		Mackenzie Sorton		Vidisha Pallamreddy	64 06 [7]
21-02393	1	1	1	1	1	rdln53		6z3df9		64		Nadja Ostojic		Juliana Jimenez	62 63
21-02393	1	1	1	1	1	eh1f9j		sc6iyi		64		Haarini Balakrishnan		Alana Lewis	64 62
21-02393	1	1	1	1	1	cnht9t		7z3df9		64		Lorena Pintar		Noelle Htwar	62 76(8)
21-02393	1	1	2	5	1	4cropu		fl69gr		SF		Ericka Nathalia Val…		Julia Lif	41 53
21-02393	1	1	2	4	1	4cropu		y9kpab		QF		Ericka Nathalia Val…		Alexis Quackenbush	42 40
21-02393	1	1	2	4	1	fl69gr		jo9cju		QF		Julia Lif		Gemma Cliffe	35 42 [5]
21-02393	1	1	2	4	1	fttbxn		navy5g		QF		Roisin Murphy		Eloise Hutton	35 42 [6]
21-02393	1	1	2	4	1	7z3df9		6z3df9		QF		Noelle Htwar		Juliana Jimenez	45(3) 41 [6]
21-02393	1	1	2	3	1	y9kpab		6q5238		16		Alexis Quackenbush		Immanuella Odiong	53 41
21-02393	1	1	2	3	1	4cropu		3n0jux		16		Ericka Nathalia Val…		Jasmine Shaw-Morris	42 42
21-02393	1	1	2	3	1	jo9cju		dii0mc		16		Gemma Cliffe		Elaina Lee	41 54(2)
21-02393	1	1	2	3	1	fl69gr		uktkfe		16		Julia Lif		Julia Pinto	45(5) 41 [4]
21-02393	1	1	2	3	1	navy5g		pn0jux		16		Eloise Hutton		Sai Sakamoto	Walkover
21-02393	1	1	2	3	1	fttbxn		2jzlz5		16		Roisin Murphy		Julie Wallace	41 24 [8]
21-02393	1	1	2	3	1	6z3df9		k91zp7		16		Juliana Jimenez		Vidisha Pallamreddy	54(5) 42
21-02393	1	1	2	3	1	7z3df9		sc6iyi		16		Noelle Htwar		Alana Lewis	42 42
21-02393	1	1	2	2	1	4cropu		ekpo3y		32		Ericka Nathalia Val…		Valentine Budin	24 40 [10]
21-02393	1	1	2	1	1	fl69gr		ti1q7g		32Q		Julia Lif		Taylour Newman	42 53
21-02393	1	1	2	1	1	fttbxn		6nj9f1		32Q		Roisin Murphy		Anisha Thada	41 42
21-02393	1	2	1	6	1	tm6keo		08oaou		F		Virginia Zanotti		Mathilde Simon	75 62
21-02393	1	2	1	5	1	08oaou		mkauua		SF		Mathilde Simon		Georgia Lancaster	64 62
21-02393	1	2	1	5	1	tm6keo		dndxxd		SF		Virginia Zanotti		Sara Bertolez Puente	Walkover
21-02393	1	2	1	4	1	08oaou		f9kpab		QF		Mathilde Simon		Daria Shchoma	60 61
21-02393	1	2	1	4	1	mkauua		8aik20		QF		Georgia Lancaster		Marina Zottele	63 61
21-02393	1	2	1	4	1	dndxxd		gaase4		QF		Sara Bertolez Puente		Ishika Agarwal	63 16 [6]
21-02393	1	2	1	4	1	tm6keo		fwwe0q		QF		Virginia Zanotti		Laura Dunarova	67(4) 60 [8]
21-02393	1	2	1	3	1	f9kpab		uqosoc		16		Daria Shchoma		Hannah Sprout	60 60
21-02393	1	2	1	3	1	08oaou		t6dqvs		16		Mathilde Simon		Amber Nguyen	57 62 [6]
21-02393	1	2	1	3	1	8aik20		203od6		16		Marina Zottele		Meggan William	60 16 [7]
21-02393	1	2	1	3	1	mkauua		6r1hpp		16		Georgia Lancaster		Carter Nettina	62 60
21-02393	1	2	1	3	1	dndxxd		5w0ac6		16		Sara Bertolez Puente		Alyssa Skulsky	63 63
