---
tournaments: 115
events: 236
eventsWithDraws: 40
eventsWithoutDraws: 196
draws: 157
brackets: 460
results: 2660
---
tournamentCode	eventId	drawId	bracketId	gender	eventName	drawName	bracketName	rounds	results
21-22816	2	1	2	W	Women's Open Singles	Blue	WEST	SF,F	3
21-22816	2	1	3	W	Women's Open Singles	Blue	3-4 Playoff	F	1
21-22816	2	1	4	W	Women's Open Singles	Blue	SOUTH	F	1
21-22816	2	2	1	W	Women's Open Singles	Red	EAST	QF,SF,F	7
21-22816	2	2	2	W	Women's Open Singles	Red	WEST	SF,F	3
21-22816	2	2	3	W	Women's Open Singles	Red	3-4 Playoff	F	1
21-22816	2	2	4	W	Women's Open Singles	Red	SOUTH	F	1
21-22816	2	3	1	W	Women's Open Singles	Green	EAST	QF,SF,F	7
21-22816	2	3	2	W	Women's Open Singles	Green	WEST	SF,F	3
21-22816	2	3	3	W	Women's Open Singles	Green	3-4 Playoff	F	1
21-22816	2	3	4	W	Women's Open Singles	Green	SOUTH	F	1
21-22816	2	4	1	W	Women's Open Singles	Purple	EAST	QF,SF,F	7
21-22816	2	4	2	W	Women's Open Singles	Purple	WEST	SF,F	3
21-22816	2	4	3	W	Women's Open Singles	Purple	3-4 Playoff	F	1
21-22816	2	4	4	W	Women's Open Singles	Purple	SOUTH	F	1
21-22816	2	5	1	W	Women's Open Singles	Orange	EAST	QF,SF,F	7
21-22816	2	5	2	W	Women's Open Singles	Orange	WEST	SF,F	3
21-22816	2	5	3	W	Women's Open Singles	Orange	3-4 Playoff	F	1
21-22816	2	5	4	W	Women's Open Singles	Orange	SOUTH	F	1
21-22816	2	6	1	W	Women's Open Singles	Yellow	MAIN	R1,R2,R3,R4,R5	10
21-22816	3	1	1	M	Men's Open Doubles	Blue	EAST	QF,SF,F	7
21-22816	3	1	2	M	Men's Open Doubles	Blue	WEST	SF,F	3
21-22816	3	1	3	M	Men's Open Doubles	Blue	3-4 Playoff	F	1
21-22816	3	1	4	M	Men's Open Doubles	Blue	SOUTH	F	1
21-22816	3	2	1	M	Men's Open Doubles	Red	MAIN	R1,R2,R3	6
