---
season: 2021-22
division: d2
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 228 (18%)
today: 3 (0%)
future: 1063 (82%)
completed: 204 (88%)
postponed: 1 (0%)
unreported: 26 (11%)
sources:
  ITA: 696
  Conferences: 598
itaIds: 699
total: 1294
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 PSAC	112127	2021-09-25	11:00am	W		THIEL                      	at		CLARN                      	L	2-5	 	 	d3/d2  	2021-09-25T15:00Z	                                    		Clarion, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnQvn%2fToc3geOwpg6p%2ffJFhByJxHHQNg%2fZpiwZvHYdQig1b04%2bUD6PfKA12lY3axlwJKN5IgR4qAi8WGPImRqmdPxeUc1Gnu9mWeG5lnkJbjA%3d%3d&path=wten)
  ITA	 34808	2021-09-25	12:00pm	W		SMSU                       	at		OLAF                       	 	   	 	 	d2/d3  	2021-09-25T16:00Z	358d0fd5-1705-4e70-92d3-69b20599ae88				
  ITA	 94072	2021-09-25	 1:00pm	W		ADEL                       	at		SNHU                       	L	2-5	 	C	d2     	2021-09-25T17:00Z	f703e519-9d9c-4693-873e-cb95b2ddb7c9				
  ITA	 90955	2021-09-25	 1:00pm	W		JEFF                       	at		GBC                        	L	3-4	 	C	d2     	2021-09-25T17:00Z	35f744c9-12c6-4a0d-aaaa-5ec3fa951a7e				
  ITA	 42537	2021-09-25	 2:30pm	W		CED                        	at		MUSK                       	W	9-0	 	 	d2/d3  	2021-09-25T18:30Z	95426ce9-3a83-4434-a881-fa773a5c7d57				
G-MAC	 35420	2021-09-25	 3:00pm	W		BRESC                      	at		KWC                        	L	3-4	 	 	naia/d2	2021-09-25T19:00Z	                                    		Owensboro, KY		
  ITA	 16477	2021-09-25	 3:00pm	W		CHC                        	at		WILMU                      	L	0-7	 	C	d2     	2021-09-25T19:00Z	673fd2a6-56be-44df-8102-7b9821fe38a7				
  ITA	 97413	2021-09-25	 3:00pm	W		LOC                        	at		AC                         	 	   	 	C	d2     	2021-09-25T19:00Z	2134dfcd-7284-45ff-ab2d-e497fc88ca36				
  ITA	 80745	2021-09-25	 3:00pm	W		SMSU                       	at		CARLE                      	L	2-7	 	 	d2/d3  	2021-09-25T19:00Z	2e9b2e96-a691-45f0-a3b2-3d0f2d44a070				
  ITA	 18372	2021-09-26	10:00am	W		JCSU                       	at		BREV                       	W	5-2	 	 	d2/d3  	2021-09-26T14:00Z	4f335b3a-5855-408a-8ee4-79e2afb93ed0				
