---
season: 2021-22
division: d1
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-20
past: 122 (6%)
today: 13 (1%)
future: 1674 (87%)
completed: 98 (73%)
postponed: 16 (12%)
cancelled: 6 (4%)
unreported: 15 (11%)
total: 1916
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
   ACC	 76278	2022-01-14	 4:00pm	M	  	VT   	at	  	MSU  	L	3-4	 	 	d1     		2022-01-14T21:00Z		ET 	4:00 P.M.     	East Lansing, MI                                				[Video](https://web.playsight.com/facility/michigan-state-university/home) [Live Stats](http://sidearmstats.com/michstate/mten/xlive.htm) [Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmJZbbT3BB%2bezOXzumDC0fAczUPxwyq5NFvPI3ZclsdZxAViRI9JmFznjNSupI3wuCOmjVvqCiHRbZrsJEdxo4KjIZXTHf0WKWyNQPVxgxhbg%3d%3d&path=mten)
 BgSky	 48382	2022-01-14	 6:00pm	M	  	BOISE	vs	  	PRST 	W	7-0	N	 	d1     		2022-01-14T23:00Z		PT 	3:00 p.m. PT  	Eugene, OR                                      				
  Hrzn	 38776	2022-01-14	 6:00pm	M	  	BUTL 	vs	  	UIC  	C	   	N	 	d1     		2022-01-14T23:00Z		CT 	5:00 P.M.     	Kalamazoo, MI                                   				
  Bg12	154930	2022-01-14	 6:00pm	M	  	LAMAR	at	  	OKST 	L	0-7	 	 	d1     		2022-01-14T23:00Z		CT 	5:00 P.M.     	                                                				
   OVC	 32611	2022-01-14	 8:00pm	M	  	EIU  	at	  	MSU  	L	0-7	 	 	d1     		2022-01-15T01:00Z		CT 	7:00 P.M.     	East Lansing, MI                                				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgk2M8xiPD9sKjWi63dw%2bUZOvw8bRIbqbVcbZxl4GPtWgmzpAYkJbVLUoVPDmTYHm4DMrhpyeJgCM1nGDO8901kbTG6BvEk6jfL03VkyRMLTtg%3d%3d&path=mten)
   ACC	 76257	2022-01-15	10:00am	M	  	CCAR 	at	10	WAKE 	L	0-7	 	 	d1     		2022-01-15T15:00Z		ET 	10:00 A.M.    	Winston-Salem, NC                               				[Video](https://web.playsight.com/facility/wake-forest-university-tennis/home) [Live Stats](http://sidearmstats.com/wakeforest/mten/) [Box Score](/boxscore.aspx?id=XNhx7lyqEFzIhgL2%2fHPzc75RjjjSSlM4y9dRql5emj%2ff9Wy1FTIxD2M4q4aCBL%2fDIaUjzqwQoiLraJQ7Qy5Y7rSMzkrGZc%2bP4PxUKD0kZEGZiw2ix3TXlQJJ%2bMB%2b6ccO&path=mten)
   ACC	 76259	2022-01-15	 2:00pm	M	  	ELON 	at	10	WAKE 	L	0-7	 	 	d1     		2022-01-15T19:00Z		ET 	2:00 P.M.     	Winston-Salem, NC                               				[Video](https://web.playsight.com/facility/wake-forest-university-tennis/home) [Live Stats](http://sidearmstats.com/wakeforest/mten/) [Box Score](/boxscore.aspx?id=XNhx7lyqEFzIhgL2%2fHPzc75RjjjSSlM4y9dRql5emj%2ff9Wy1FTIxD2M4q4aCBL%2fDIaUjzqwQoiLraJQ7Qy5Y7q%2f%2btLlF8xQCFORdK5C2EphXRfVHUcHcC%2fu2ttHHwwRu&path=mten)
   Ivy	 54941	2022-01-15	 1:00pm	M	  	DART 	at	21	HARV 	 	   	 	 	d1     		2022-01-15T18:00Z		   	1:00 P.M.     	Cambridge, MA                                   				
  Bg12	156089	2022-01-15	 2:00pm	M	  	IWORD	at	24	OKLA 	 	   	 	 	d1     		2022-01-15T19:00Z		CT 	1:00 P.M.     	Norman, OK                                      				
Sthlnd	 41392	2022-01-15	 2:00pm	M	  	IWORD	at	24	OKLA 	L	0-7	 	 	d1     		2022-01-15T19:00Z		CT 	1:00 P.M.     	Norman, OK                                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmwVdE7catDWAI0wcU%2fgeJ4soUcVozLNO7%2bZG2ssw5uV86gKiKV3NMQRLumEKDUMJNOIp9kVpHysKWfWjsmNO4EWOJ6WIsaD3h44%2f4PVcKDpg%3d%3d&path=mten)
  Bg12	156090	2022-01-15	 6:00pm	M	  	BRY  	at	24	OKLA 	 	   	 	 	d1     		2022-01-15T23:00Z		CT 	5:00 P.M.     	Norman, OK                                      				
   SCn	106463	2022-01-15	    TBA	M	  	CIT  	at	  	SCST 	P	   	 	 	d1     		                 		   	TBA           	Orangeburg, SC                                  				
   SCn	106464	2022-01-15	    TBA	M	  	CIT  	at	  	SCST 	P	   	 	 	d1     		                 		   	TBA           	Orangeburg, SC                                  				
   Ivy	 54657	2022-01-15	All Day	M	  	CLMB 	at	  	GT   	 	   	 	 	d1     		                 		ET 	All Day       	Atlanta, GA                                     				
  Hrzn	 38756	2022-01-15	All Day	M	  	NKU  	at	  	TMORE	W	7-0	 	 	d1/naia		                 		ET 	All Day       	Crestview Hills, KY                             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglEsXQ21%2bpF%2f9k1EXIJDeC9B1ogm0WWhkyKhaLk6%2boYPkq4mKVuv4Iu3gTtp4ySV1Cfod8CD20PiQdiyHVxmfZB&path=mten)
  Ptrt	116102	2022-01-15	 9:00am	M	  	DEP  	at	  	ARMY 	W	6-1	 	 	d1     		2022-01-15T14:00Z		ET 	9:00 A.M.     	West Point, NY                                  				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgluMUQaz65pji0%2bLIFrVf9iafqxUGadXVts9UMcQc8rpcqsv7F8hTgHXL6%2b66vfQSQtWocpYhWu108L0Z1EsUFwvSWlCnRdHzK7v4JxcE9Spw%3d%3d&path=mten)
 C-USA	 66294	2022-01-15	11:00am	M	  	FAU  	vs	  	ILST 	W	7-0	N	 	d1     		2022-01-15T16:00Z		ET 	11:00 A.M.    	West Point, NY                                  				[Box Score](/boxscore.aspx?id=fr0pEOEgA2aFEO34MNzHWMt8k%2bsjWx4aHFHtOLyG13ielOw2goPgAmpn77%2bXxpikarJnQdoXa0bAD%2bN46MKJoz1rFujY2D88Zm%2blRyEsmgCf6vPy1JxPDxnQBBk%2bw1lo&path=mten)
   ACC	 75562	2022-01-15	12:00pm	M	  	FUR  	at	  	CLEM 	L	1-6	 	 	d1     		2022-01-15T17:00Z		   	12:00 P.M.    	Clemson, SC                                     				
