---
season: 2021-22
division: naia
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 136 (32%)
future: 284 (68%)
completed: 121 (89%)
unreported: 15 (11%)
sources:
  ITA: 367
  Conferences: 53
itaIds: 367
total: 420
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
 ITA	55651	2021-09-30	 3:00pm	W		MOVAL	at		QU   	 	   	 	 	naia/d2  	2021-09-30T19:00Z	e37708be-e6cf-48ae-b4bd-99e0a21bb933				
 ITA	66658	2021-10-02	10:00am	W		WARTB	at		CONNE	L	2-4	 	 	d3/naia  	2021-10-02T14:00Z	670acba6-7d5d-44c7-9ea8-8b79709e323f				
 ITA	24179	2021-10-02	11:00am	W		CORNR	at		SAG  	W	4-3	 	 	naia/d2  	2021-10-02T15:00Z	9eb4920d-b2f3-4f88-baf7-6d3bff4bf9fe				
 ITA	90578	2021-10-02	 2:00pm	W		LSSU 	at		AQUIN	W	4-1	 	 	d2/naia  	2021-10-02T18:00Z	6951c13a-f344-44f0-9028-afce494caa95				
 ITA	28151	2021-10-02	 5:00pm	W		WARTB	at		NWCIA	L	0-2	 	 	d3/naia  	2021-10-02T21:00Z	da895bc4-6c53-43dc-9f70-16991972b923				
 ITA	67161	2021-10-02	 6:00pm	W		MOVAL	at		MCK  	 	   	 	 	naia/d2  	2021-10-02T22:00Z	38561c64-afc8-4861-92e7-6a86a781d0af				
 ITA	86793	2021-10-03	 2:00am	W		ICCC 	at		GVIEW	L	2-5	 	 	juco/naia	2021-10-03T06:00Z	07cce493-3fcb-4e9c-8264-1da7f5031282				
 ITA	38530	2021-10-03	 5:00pm	W		MNKTO	at		GVIEW	W	6-1	 	 	d2/naia  	2021-10-03T21:00Z	2188d5ba-e6a5-4a20-b204-7e48ed510bec				
 ITA	33015	2021-10-04	 4:00pm	W		JUDIL	at		SMARY	W	6-3	 	 	naia/d3  	2021-10-04T20:00Z	afe6917e-780d-4ad7-ade5-cfc7ee9bcf0b				
 ITA	11071	2021-10-06	 5:00pm	W		MIDLN	at		NEWES	W	5-4	 	 	naia/d3  	2021-10-06T21:00Z	66f57563-eb96-43c7-a6dd-f9f93156dd9e				
 ITA	71365	2021-10-07	 5:00pm	W		ICCC 	at		NWCIA	L	1-4	 	 	juco/naia	2021-10-07T21:00Z	22149839-9d73-48c7-9023-220d9b2ea82e				
 ITA	52105	2021-10-08	11:00am	W		CUMBD	vs		GCOL 	W	6-1	N	C	naia     	2021-10-08T15:00Z	b29df3f1-a068-4e19-8d96-72dacd5b4e66				
 ITA	41272	2021-10-08	12:00pm	W		OLIVT	at		UIS  	L	1-6	 	 	naia/d2  	2021-10-08T16:00Z	e3a0945e-0551-48dc-99cd-4b22f1abb579				
 ITA	27569	2021-10-08	 1:30pm	W		MIDLN	at		OMAHA	L	1-6	 	 	naia/d1  	2021-10-08T17:30Z	a1c8e5e4-a777-4a5d-a829-e61cf6c21b3e				
 ITA	93127	2021-10-08	 3:01pm	W		CAMPB	vs		SHAWN	W	7-0	N	 	naia     	2021-10-08T19:01Z	67a36127-4cf8-463a-867a-0e561e0017d3				
 ITA	 4716	2021-10-08	 4:00pm	W		TABOR	at		FHS  	 	   	 	 	naia/d2  	2021-10-08T20:00Z	bfe237f1-8ba9-4bb6-b2ca-e26b9275aad6				
 ITA	63971	2021-10-09	 9:00am	W		BTHIN	at		MANC 	W	9-0	 	 	naia/d3  	2021-10-09T13:00Z	02c025be-a838-4614-8d4d-30e9466196d4				
 ITA	 8483	2021-10-09	 9:30am	W		CORNR	at		DAVEN	W	6-1	 	 	naia/d2  	2021-10-09T13:30Z	74859603-9efe-4d3a-aa82-29b6fe614f8a				
 ITA	31798	2021-10-09	10:00am	W		CMBDS	vs		CUMBD	W	6-1	N	C	naia     	2021-10-09T14:00Z	112b269a-8967-4008-b4a7-415cee3ea46f				
 ITA	 2692	2021-10-09	12:30pm	W		WJC  	at		DOANE	W	5-2	 	 	d2/naia  	2021-10-09T16:30Z	1e8e5495-3f3e-4783-a593-4ce67845350a				
 ITA	13162	2021-10-09	 1:00pm	W		CAMPB	vs		LINDW	L	2-5	N	 	naia     	2021-10-09T17:00Z	5e9e165a-7d5c-4873-a87f-d09722753e37				
 ITA	 8137	2021-10-09	 1:00pm	W		JUDIL	at		BTHIN	W	4-3	 	 	naia     	2021-10-09T17:00Z	627a1126-c9cc-4cdc-9a3b-7f8a88f86f2d				
 ITA	45447	2021-10-09	 1:30pm	W		UIU  	at		STAMB	W	6-1	 	 	d2/naia  	2021-10-09T17:30Z	c4d4c0a0-397f-41d5-851f-740032f4ab8b				
 ITA	33236	2021-10-09	 4:00pm	W		CUMBD	vs		SHAWN	W	6-1	N	C	naia     	2021-10-09T20:00Z	962c1ecd-5144-4d76-8a83-e194939cffb9				
 ITA	26863	2021-10-09	 4:00pm	W		JUDIL	at		MANC 	W	5-0	 	 	naia/d3  	2021-10-09T20:00Z	7298e6d8-40b0-49aa-bbd5-878761e478fe				
 ITA	19930	2021-10-09	 4:00pm	W		STAMB	at		LUTHR	L	3-4	 	 	naia/d3  	2021-10-09T20:00Z	29a703f1-9450-470b-b288-222064c49349				
 ITA	67933	2021-10-09	 4:30pm	W		WJC  	at		CONNE	W	7-0	 	 	d2/naia  	2021-10-09T20:30Z	a0d03e1b-87db-4ac0-813a-4abf9f0b9e0c				
 ITA	24533	2021-10-10	 4:00pm	W		ICCC 	at		DOANE	L	1-6	 	 	juco/naia	2021-10-10T20:00Z	f0e3339e-7587-4e5b-b7ef-73efcc7c682c				
 ITA	87493	2021-10-14	 3:00pm	W		IUE  	at		SHAWN	W	7-0	 	 	naia     	2021-10-14T19:00Z	62899e7d-41fd-46d9-a06e-5efa63611610				
 ITA	27117	2021-10-14	 3:00pm	W		TABOR	at		NEWM 	 	   	 	 	naia/d2  	2021-10-14T19:00Z	36fca90c-3b70-48b3-97a4-ecaa3cd046f0				
 ITA	34852	2021-10-15	 2:00pm	W		CORNR	at		ROOS 	W	6-1	 	 	naia     	2021-10-15T18:00Z	d132d97f-bac5-4c28-8ce8-8af1dc13e58a				
 ITA	64575	2021-10-15	 3:00pm	W		MUW  	at		JOHN 	L	0-4	 	 	juco/naia	2021-10-15T19:00Z	2a17d93f-fed6-42c8-b8e3-bd19017e7f64				
 ITA	12714	2021-10-16	 1:00pm	W		DOANE	at		SMSU 	L	3-4	 	 	naia/d2  	2021-10-16T17:00Z	f7f6990e-9f01-45a3-b560-f5064d9bd916				
 ITA	33780	2021-10-16	 5:00pm	W		WITT 	at		TMORE	L	3-4	 	 	d3/naia  	2021-10-16T21:00Z	9863c4bb-fb0a-414b-8fc0-be01d9993f1a				
 ITA	 5323	2021-10-22	 1:00pm	W		KEISR	at		FGCU 	L	1-6	 	 	naia/d1  	2021-10-22T17:00Z	37273d75-5e77-4278-a9e8-80f58217ad38				
 ITA	52385	2021-10-29	 3:00pm	W		MSACC	at		AZCHR	L	3-4	 	 	juco/naia	2021-10-29T19:00Z	dfff2e69-88b7-4994-9bb6-0f228e04ece9				
 ITA	  871	2021-10-30	 3:00pm	W		NESU 	at		JBRWN	 	   	 	 	d2/naia  	2021-10-30T19:00Z	33aa2e12-2b24-4023-85eb-1ab4b22146a0				
 ITA	62405	2021-11-12	12:00pm	W		JONES	at		LOYNO	L	0-7	 	 	juco/naia	2021-11-12T17:00Z	8761e5e0-af03-4fd0-95b8-473559a55505				
 ITA	38635	2022-01-15	 4:00pm	W		NKU  	at		TMORE	W	7-0	 	 	d1/naia  	2022-01-15T21:00Z	57c64c11-6300-4c93-baec-d2afbda07b9b				
 ITA	94211	2022-01-19	10:00am	W		COLC 	at		CONNE	 	   	 	 	d3/naia  	2022-01-19T15:00Z	a49f4f79-d484-4791-b473-0f42a9488583				
 ITA	64794	2022-01-27	 9:00am	W		MONTR	vs		WWOOD	 	   	N	 	naia     	2022-01-27T14:00Z	116fa0f6-0b77-402b-b673-3fcfaa0b804a				
 ITA	24465	2022-01-27	 5:00pm	W		VENT 	at		WESTM	 	   	 	 	juco/naia	2022-01-27T22:00Z	f2349204-b5ef-4d17-aa21-4043595f2c56				
 ITA	19034	2022-01-28	11:00am	W		FNU  	at		STET 	 	   	 	 	naia/d1  	2022-01-28T16:00Z	9df04524-1c2c-49d2-888d-1eb141d5798c				
 ITA	 8373	2022-01-28	 1:00pm	W		JES  	vs		MCU  	 	   	N	 	naia     	2022-01-28T18:00Z	d7190a2a-249d-41a6-928f-6e58559b8098				
SSAC	26061	2022-01-29	    TBA	W		LSUAL	at		DIL  	 	   	 	 	naia     	                 	                                    		New Orleans, LA		
 ITA	90441	2022-01-29	10:00am	W		STHOM	at		STET 	 	   	 	 	naia/d1  	2022-01-29T15:00Z	85be8c54-cf1f-46e2-b3c5-8637e0958923				
