---
season: 2021-22
division: d2
gender: men
description: composite schedule/scoreboard
updated: 2022-01-21
past: 102 (10%)
future: 918 (90%)
completed: 91 (89%)
postponed: 1 (1%)
unreported: 10 (10%)
sources:
  ITA: 541
  Conferences: 479
itaIds: 543
total: 1020
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
  ITA	 29239	2021-10-08	12:00pm	M		OLIVT                      	at		UIS                        	L	0-7	 	 	naia/d2	2021-10-08T16:00Z	793190b5-f19e-4dc8-8fc4-183fc3f27d50				
  ITA	 33975	2021-10-08	 6:00pm	M		GVSU                       	at		CORNR                      	W	6-1	 	 	d2/naia	2021-10-08T22:00Z	684221c7-39d4-49d6-8dd9-da0bd69cfc7e				
  ITA	 29067	2021-10-09	10:00am	M		CWRU                       	vs		FIND                       	W	9-0	N	 	d3/d2  	2021-10-09T14:00Z	8ce5ea95-d35e-4299-bc5d-947440242b58				
  ITA	 58644	2021-10-09	10:00am	M		FIND                       	at		OBRL                       	W	5-4	 	 	d2/d3  	2021-10-09T14:00Z	5460b5dd-e78e-42d2-b563-05186721b8ef				
  ITA	 71203	2021-10-09	11:00am	M		LOC                        	at		NIA                        	L	3-4	 	 	d2/d1  	2021-10-09T15:00Z	05c2a1df-cef0-4f45-a68d-a00fbc9e8ea3				
G-MAC	 35682	2021-10-09	12:00pm	M		FRANC                      	at		ASH                        	L	1-6	 	 	d3/d2  	2021-10-09T16:00Z	                                    		Ashland, OH		
  ITA	 18159	2021-10-09	12:00pm	M		PNW                        	at		HCRIN                      	L	2-5	 	 	d2/naia	2021-10-09T16:00Z	2dd69ad8-26cd-418f-ac79-e907d9157cd1				
  ITA	 25566	2021-10-09	12:30pm	M		WJC                        	at		CONNE                      	W	7-0	 	 	d2/naia	2021-10-09T16:30Z	73cb8962-0159-4cce-b78c-c668d5cfd0af				
  ITA	 24762	2021-10-09	 1:00pm	M		SFU                        	at		BUP                        	W	6-1	 	 	d1/d2  	2021-10-09T17:00Z	1e58f139-d9a3-4236-b704-de774ac9191b				
  ITA	 28558	2021-10-09	 1:00pm	M		WLU                        	at		CED                        	W	5-2	 	 	d2     	2021-10-09T17:00Z	446f8b00-d460-4fba-8a81-00ec63d8d6c1				
  ITA	 64501	2021-10-09	 3:00pm	M		UC                         	at		WING                       	W	4-3	 	 	d2     	2021-10-09T19:00Z	a1c033d0-38ad-4736-876b-fc936227e9cf				
  ITA	 94846	2021-10-09	 4:00pm	M		WJC                        	at		DOANE                      	W	5-2	 	 	d2/naia	2021-10-09T20:00Z	aa7d72f2-fe3f-40e5-be7c-9927ab303003				
  ITA	 36819	2021-10-09	 4:30pm	M		WJC                        	at		DOANE                      	W	5-2	 	 	d2/naia	2021-10-09T20:30Z	704f64e4-3b58-4916-a52b-d59d450776ca				
  ITA	 45889	2021-10-10	11:00am	M		LOC                        	at		DAEMN                      	W	4-3	 	 	d2     	2021-10-10T15:00Z	20399657-cf27-424d-8d7a-1b25472c7b72				
  ITA	 83848	2021-10-10	12:00pm	M		WAL                        	at		WOOST                      	W	8-1	 	 	d2/d3  	2021-10-10T16:00Z	c994b451-8d7d-4099-9280-02b94493bce8				
  ITA	  5631	2021-10-10	 3:00pm	M		UC                         	at		LRC                        	W	4-3	 	 	d2     	2021-10-10T19:00Z	25723177-f5b7-4c58-b899-3c24ff227f8b				
  ITA	 20865	2021-10-10	 5:00pm	M		UDC                        	at		USP                        	 	   	 	 	d2     	2021-10-10T21:00Z	ecbc02da-f48a-458c-abe7-f45e3a925133				
   CC	 68263	2021-10-12	 9:00am	M		CONV                       	at		LIME                       	W	4-3	 	 	d2     	2021-10-12T13:00Z	                                    		Gaffney, SC		
 GLVC	132345	2021-10-12	12:00pm	M		MUSL                       	at		LIND                       	L	3-4	 	 	d2     	2021-10-12T16:00Z	                                    		St. Charles, MO		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm71SrmuWknlCH12ISmC7HMW3YzhSFZ2Llrd1vI5JbrUZ6Nsve4Z5ltjkeWYAhb%2fzmoCMFi%2bHBi7D0zJ3IbipAaTbbcwCE34IcUyu3i3lFDIg%3d%3d&path=mten)
  ITA	 60802	2021-10-12	 2:30pm	M		CHC                        	at		WCUPA                      	W	6-1	 	 	d2     	2021-10-12T18:30Z	98b88fa8-a911-46e3-ba85-f1930efa9a6a				
  ITA	 72292	2021-10-13	 2:00pm	M		UDC                        	at		MILL                       	L	2-5	 	 	d2     	2021-10-13T18:00Z	b67e5bd4-dbe0-4b77-85c7-ce3532fa91e8				
  ITA	 45025	2021-10-13	 4:00pm	M		EMM                        	at		YOUNG                      	L	2-5	 	 	d2     	2021-10-13T20:00Z	c8b53b5d-d814-4897-a141-007f34fb6c46				
  ITA	  4004	2021-10-14	 2:30pm	M		JEFF                       	at		WCUPA                      	W	7-0	 	 	d2     	2021-10-14T18:30Z	f8bde2e0-ccd7-4198-8e1d-d8cbfd044361				
  ITA	 56237	2021-10-14	 3:00pm	M		ENAZ                       	at		BENT                       	 	   	 	 	d3/d2  	2021-10-14T19:00Z	207a416d-803a-43f8-ada4-38392ffed782				
  ITA	 52928	2021-10-14	 3:00pm	M		TABOR                      	at		NEWM                       	L	0-7	 	 	naia/d2	2021-10-14T19:00Z	5c10323c-3b5d-4b79-bf55-a90dcbfc2e61				
  ITA	  5704	2021-10-15	 1:00pm	M		BUP                        	at		UDC                        	L	1-5	 	 	d2     	2021-10-15T17:00Z	441d2e51-0123-4149-bff9-9233b43d155b				
  ITA	 80759	2021-10-15	 3:00pm	M		BENT                       	at		ENDCT                      	 	   	 	 	d2/d3  	2021-10-15T19:00Z	3cb36edb-65a6-4e40-b351-b155b9184abe				
  ITA	 98449	2021-10-16	12:00pm	M		ENDCT                      	at		AC                         	 	   	 	 	d3/d2  	2021-10-16T16:00Z	c6a8f2d5-f768-4264-a837-62e7883dfe51				
  ITA	 62333	2021-10-16	 2:00pm	M		CAT                        	at		AVER                       	W	5-4	 	 	d2/d3  	2021-10-16T18:00Z	17b9235e-8505-4cee-bf54-13572b5b1d1b				
  ITA	 20735	2021-10-17	11:01am	M		USP                        	at		STAC                       	L	2-5	 	 	d2     	2021-10-17T15:01Z	a923388d-b05b-4b9e-8aaf-e12950135182				
  ITA	 38115	2021-10-19	 2:00pm	M		ADEL                       	at		FORD                       	L	2-5	 	 	d2/d1  	2021-10-19T18:00Z	2bd58daf-3a65-45df-b2c4-86b07b21e9f2				
  ITA	 29562	2021-10-20	 1:00pm	M		NEW                        	at		EMM                        	L	0-7	 	 	d2     	2021-10-20T17:00Z	995c78ee-5970-4426-8bb9-cef121320e4e				
  ITA	 11306	2021-10-20	 2:30pm	M		STAC                       	at		WCUPA                      	W	7-0	 	 	d2     	2021-10-20T18:30Z	9de38143-2d57-42b2-a2c9-07f3a984d1fc				
  ITA	 21828	2021-10-22	 2:00pm	M		FROST                      	at		SHEP                       	L	1-0	 	 	d2     	2021-10-22T18:00Z	087da300-154a-4a3f-9aa9-889efcfc9a00				
   CC	 68875	2021-10-23	10:00am	M		NEW                        	at		NGC                        	W	4-1	 	 	d2     	2021-10-23T14:00Z	                                    		Tigerville, SC		
