---
season: 2021-22
division: d3
gender: women
description: composite schedule/scoreboard
updated: 2022-01-21
past: 578 (46%)
future: 692 (54%)
completed: 524 (91%)
unreported: 54 (9%)
sources:
  ITA: 718
  Conferences: 552
itaIds: 722
total: 1270
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	itaId	tournament	location	facility	links
   ITA	 69596	2021-09-06	 3:30pm	W		CLBS 	at		SMCVT	W	5-2	 	 	d3/d2  	2021-09-06T19:30Z	2a54a51a-9928-4ef9-90c4-734f4aba13ee				
   ITA	 85406	2021-09-06	 5:00pm	W		WEBST	at		ILLCO	 	   	 	 	d3     	2021-09-06T21:00Z	7a5c375c-6822-4933-8be8-50b56dd65e4d				
   ITA	 15408	2021-09-07	12:00pm	W		RIT  	at		DAEMN	L	3-4	 	 	d3/d2  	2021-09-07T16:00Z	2fe6b4c0-627b-48f0-b078-fc9a5e3b8dbf				
   AEC	  7511	2021-09-07	 3:00pm	W		MISER	at		MARYW	W	7-2	 	 	d3     	2021-09-07T19:00Z	                                    		Scranton, PA		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgk9AFVZDwLtqNFGmD7CvUepxgcL%2bcB0KfhxsOT6WcBbJHQ%2bMry0u2sP7EYfz7mJjGyhaj3hwvKzrVk70DMvQ%2bO5&path=wten)
   LEC	 42662	2021-09-07	 3:30pm	W		RWIL 	at		SSU  	W	8-1	 	 	d3     	2021-09-07T19:30Z	                                    		Salem, MA		
   ITA	 15192	2021-09-07	 4:00pm	W		OTTER	at		MTVRN	W	7-0	 	 	d3/naia	2021-09-07T20:00Z	af3c8c61-9e1b-4a3e-9fdf-2ae372e3a2c6				
   ITA	 23446	2021-09-07	 4:00pm	W		RICOL	at		REGIS	W	9-0	 	 	d3     	2021-09-07T20:00Z	43e3dd8b-9b92-47c6-93c9-2595b9528bb4				
   ITA	 46042	2021-09-07	 5:00pm	W		VISTA	at		GVIEW	L	2-5	 	 	d3/naia	2021-09-07T21:00Z	1857f097-7743-4529-b1ce-b63ede2e48c6				
   ITA	 72648	2021-09-07	 5:00pm	W		WIOSH	at		LWRNC	L	4-5	 	 	d3     	2021-09-07T21:00Z	a7b1a454-5d93-462a-a055-c8854067afc7				
   ITA	 57076	2021-09-07	 7:00pm	W		DEPW 	at		IWES 	L	0-7	 	 	d3/naia	2021-09-07T23:00Z	cfaa165e-c8a1-4089-b5a7-b8da2c05d12a				
  NJAC	 82407	2021-09-08	 2:00pm	W		NPLZ 	at		TCNJ 	L	4-5	 	 	d3     	2021-09-08T18:00Z	                                    		Ewing, NJ		[Box Score](https://tcnjathletics.com/sports/womens-tennis/stats/2021-22/new-paltz/boxscore/8628)
   ITA	 97571	2021-09-08	 3:30pm	W		NCENT	at		ILWES	W	9-0	 	C	d3     	2021-09-08T19:30Z	a85b2a12-1343-47d3-bb0a-f4d11a57f0e7				
   ITA	 40555	2021-09-08	 4:00pm	W		ALGNY	at		EDIN 	L	2-5	 	 	d3/d2  	2021-09-08T20:00Z	db9a96ec-8620-4d2b-be1a-cf1c9edcffbe				
  CUNY	116605	2021-09-08	 4:00pm	W		HTR  	at		MANH 	W	6-3	 	 	d3     	2021-09-08T20:00Z	                                    		Purchase, NY		[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgnsllxCldQN2sX6P0phXXYm42U16u15e8DpLLInlza7zggTzv94gDTTiye7VM9HB%2bPq1NweZtF0b9hLvTjoBuYXih7X5uOREpqAD%2fGX%2f%2frt2Q%3d%3d&path=wtennis)
   LEC	 42663	2021-09-08	 4:00pm	W		SSU  	at		SIMM 	L	3-6	 	 	d3     	2021-09-08T20:00Z	                                    		Boston, MA		
