---
division: d1
gender: M
matches: 1120
version: 2
---
dateET	timeET	rank	team	at	oppRank	opponent	outcome	score	location	conference	gender	division	teamId	opponentId	dualId	date
2022-01-22	10:00am	  	DREX 	at	  	BROWN	 	   	A	 	M	d1     				2022-01-22T15:00:00.000Z
2022-01-22	10:00am	  	CLEV 	at	  	MSU  	 	   	A	 	M	d1     				2022-01-22T15:00:00.000Z
2022-01-22	10:00am	  	MTST 	at	  	GONZ 	 	   	A	 	M	d1     				2022-01-22T15:00:00.000Z
2022-01-22	10:00am	  	SAM  	vs	  	STET 	 	   	N	 	M	d1     				2022-01-22T15:00:00.000Z
2022-01-22	11:00am	  	LAMAR	at	  	RICE 	 	   	A	 	M	d1     				2022-01-22T16:00:00.000Z
2022-01-22	 1:00pm	  	W&M  	at	  	LIB  	 	   	A	 	M	d1     				2022-01-22T18:00:00.000Z
2022-01-22	 1:00pm	  	FGCU 	at	  	FAU  	 	   	A	 	M	d1     				2022-01-22T18:00:00.000Z
2022-01-22	 2:00pm	  	CRE  	vs	  	GCU  	 	   	N	 	M	d1     				2022-01-22T19:00:00.000Z
2022-01-22	 2:00pm	  	STET 	at	  	FSU  	 	   	A	 	M	d1     				2022-01-22T19:00:00.000Z
2022-01-22	 2:00pm	  	SFU  	at	  	NAVY 	 	   	A	 	M	d1     				2022-01-22T19:00:00.000Z
2022-01-22	 2:00pm	  	TTU  	at	  	SMU  	 	   	A	 	M	d1     				2022-01-22T19:00:00.000Z
2022-01-22	 3:00pm	  	SHU  	at	  	BROWN	 	   	A	 	M	d1     				2022-01-22T20:00:00.000Z
2022-01-22	 3:00pm	  	ORE  	at	  	WASH 	 	   	A	 	M	d1     				2022-01-22T20:00:00.000Z
2022-01-22	 4:00pm	  	IUPUI	at	  	MSU  	 	   	A	 	M	d1     				2022-01-22T21:00:00.000Z
2022-01-22	 4:30pm	  	SMCC 	at	  	CAL  	 	   	A	 	M	d1     				2022-01-22T21:30:00.000Z
2022-01-22	 5:00pm	  	DEP  	at	  	WIS  	 	   	A	 	M	d1     				2022-01-22T22:00:00.000Z
2022-01-22	 5:00pm	  	SBU  	at	  	NAVY 	 	   	A	 	M	d1     				2022-01-22T22:00:00.000Z
2022-01-22	 7:00pm	  	OKST 	at	  	BAMA 	 	   	A	 	M	d1     				2022-01-23T00:00:00.000Z
2022-01-22	 5:00pm	  	HNU  	at	  	SCLAR	 	   	A	 	M	d2/d1  				2022-01-22T22:00:00.000Z
2022-01-22	 1:00pm	  	UCSC 	at	  	SCLAR	 	   	A	 	M	d3/d1  				2022-01-22T18:00:00.000Z
2022-01-22	 4:00pm	  	MTST 	at	  	WHITW	 	   	A	 	M	d1/d3  				2022-01-22T21:00:00.000Z
2022-01-23	 3:00pm	 3	TEX  	at	  	AZST 	 	   	A	 	M	d1     				2022-01-23T20:00:00.000Z
2022-01-23	12:00pm	10	WAKE 	at	 4	TENN 	 	   	A	 	M	d1     				2022-01-23T17:00:00.000Z
2022-01-23	 4:00pm	  	TNTC 	at	 4	TENN 	 	   	A	 	M	d1     				2022-01-23T21:00:00.000Z
2022-01-23	 1:00pm	21	HARV 	at	 7	UVA  	 	   	A	 	M	d1     				2022-01-23T18:00:00.000Z
2022-01-23	 6:00pm	  	UCI  	at	 9	USC  	 	   	A	 	M	d1     				2022-01-23T23:00:00.000Z
2022-01-23	10:00am	  	CHAR 	at	13	SCAR 	 	   	A	 	M	d1     				2022-01-23T15:00:00.000Z
2022-01-23	 1:00pm	  	CoC  	at	13	SCAR 	 	   	A	 	M	d1     				2022-01-23T18:00:00.000Z
2022-01-23	 1:00am	  	NEB  	at	24	OKLA 	 	   	A	 	M	d1     				2022-01-23T06:00:00.000Z
2022-01-23	 2:00pm	  	OMAHA	at	24	OKLA 	 	   	A	 	M	d1     				2022-01-23T19:00:00.000Z
2022-01-23	12:00am	  	MTST 	at	  	EWU  	 	   	A	C	M	d1     				2022-01-23T05:00:00.000Z
2022-01-23	 2:00am	  	ABCHR	vs	  	BOISE	 	   	N	 	M	d1     				2022-01-23T07:00:00.000Z
2022-01-23	 9:00am	  	CHAT 	at	  	VT   	 	   	A	 	M	d1     				2022-01-23T14:00:00.000Z
2022-01-23	11:00am	  	AUB  	at	  	ODU  	 	   	A	 	M	d1     				2022-01-23T16:00:00.000Z
2022-01-23	11:00am	  	WOF  	at	  	GAST 	 	   	A	 	M	d1     				2022-01-23T16:00:00.000Z
2022-01-23	11:00am	  	GCU  	at	  	AFA  	 	   	A	 	M	d1     				2022-01-23T16:00:00.000Z
2022-01-23	12:00pm	  	ETSU 	at	  	CLEM 	 	   	A	 	M	d1     				2022-01-23T17:00:00.000Z
2022-01-23	12:00pm	  	MEM  	at	  	ND   	 	   	A	 	M	d1     				2022-01-23T17:00:00.000Z
2022-01-23	 1:00pm	  	IDST 	at	  	USU  	 	   	A	 	M	d1     				2022-01-23T18:00:00.000Z
2022-01-23	 1:00pm	  	IDAHO	vs	  	UNLV 	 	   	N	 	M	d1     				2022-01-23T18:00:00.000Z
2022-01-23	 2:00pm	  	UTAH 	at	  	UNM  	 	   	A	 	M	d1     				2022-01-23T19:00:00.000Z
2022-01-23	 3:00pm	  	SACST	at	  	CPOLY	 	   	A	 	M	d1     				2022-01-23T20:00:00.000Z
2022-01-23	 5:00pm	  	GTWN 	at	  	VT   	 	   	A	 	M	d1     				2022-01-23T22:00:00.000Z
2022-01-23	 5:00pm	  	TOL  	at	  	ND   	 	   	A	 	M	d1     				2022-01-23T22:00:00.000Z
2022-01-23	 7:00pm	  	SFU  	at	  	MORG 	 	   	A	 	M	d1     				2022-01-24T00:00:00.000Z
2022-01-24	 5:00pm	  	BOISE	at	 2	BAY  	 	   	A	 	M	d1     				2022-01-24T22:00:00.000Z
2022-01-25	 4:00pm	  	SMCC 	at	25	UCLA 	 	   	A	 	M	d1     				2022-01-25T21:00:00.000Z
2022-01-25	12:00pm	  	UNO  	at	  	LAMAR	 	   	A	 	M	d1     				2022-01-25T17:00:00.000Z
2022-01-26	 2:30pm	  	WOF  	at	  	GWEBB	 	   	A	 	M	d1     				2022-01-26T19:30:00.000Z
2022-01-26	 6:00pm	  	TEM  	at	  	PENN 	 	   	A	 	M	d1     				2022-01-26T23:00:00.000Z
2022-01-27	 3:00pm	  	ABCHR	at	 5	TCU  	 	   	A	 	M	d1     				2022-01-27T20:00:00.000Z
2022-01-28	 1:00pm	  	ODU  	at	 4	TENN 	 	   	A	 	M	d1     				2022-01-28T18:00:00.000Z
2022-01-28	12:00am	23	ILL  	vs	  	NCST 	 	   	N	 	M	d1     				2022-01-28T05:00:00.000Z
2022-01-28	 2:00pm	  	SEA  	at	  	MTST 	 	   	A	 	M	d1     				2022-01-28T19:00:00.000Z
2022-01-28	 2:00pm	  	ND   	vs	  	SMU  	 	   	N	 	M	d1     				2022-01-28T19:00:00.000Z
2022-01-28	 3:00pm	  	HAW  	at	  	UNLV 	 	   	A	 	M	d1     				2022-01-28T20:00:00.000Z
2022-01-28	 4:00pm	  	BUFF 	at	  	YALE 	 	   	A	 	M	d1     				2022-01-28T21:00:00.000Z
2022-01-28	 4:00pm	  	UCSB 	at	  	LOYM 	 	   	A	 	M	d1     				2022-01-28T21:00:00.000Z
2022-01-28	 7:00pm	  	HAW  	vs	  	UCR  	 	   	N	 	M	d1     				2022-01-29T00:00:00.000Z
2022-01-28	 8:00pm	  	USU  	at	  	WASH 	 	   	A	 	M	d1     				2022-01-29T01:00:00.000Z
2022-01-28	11:00am	  	MSUD 	at	  	AFA  	 	   	A	 	M	d2/d1  				2022-01-28T16:00:00.000Z
2022-01-28	 2:00pm	  	PRES 	at	  	EMM  	 	   	A	 	M	d1/d2  				2022-01-28T19:00:00.000Z
2022-01-28	 6:00pm	  	MSUD 	at	  	AFA  	 	   	A	 	M	d2/d1  				2022-01-28T23:00:00.000Z
2022-01-28	 3:00pm	  	FNU  	at	  	STET 	 	   	A	 	M	naia/d1				2022-01-28T20:00:00.000Z
2022-01-29	 2:00pm	  	PRIN 	at	 1	FLA  	 	   	A	 	M	d1     				2022-01-29T19:00:00.000Z
2022-01-29	12:00pm	  	CLMB 	at	 3	TEX  	 	   	A	 	M	d1     				2022-01-29T17:00:00.000Z
2022-01-29	 1:00am	  	PORT 	at	 5	TCU  	 	   	A	 	M	d1     				2022-01-29T06:00:00.000Z
2022-01-29	12:00pm	  	BALL 	at	 7	UVA  	 	   	A	 	M	d1     				2022-01-29T17:00:00.000Z
2022-01-29	 1:00pm	21	HARV 	at	 9	USC  	 	   	A	 	M	d1     				2022-01-29T18:00:00.000Z
2022-01-29	 1:00pm	  	LSU  	at	13	SCAR 	 	   	A	 	M	d1     				2022-01-29T18:00:00.000Z
2022-01-29	 3:00pm	18	MISS 	vs	24	OKLA 	 	   	N	 	M	d1     				2022-01-29T20:00:00.000Z
2022-01-29	 3:00pm	25	UCLA 	at	19	A&M  	 	   	A	 	M	d1     				2022-01-29T20:00:00.000Z
2022-01-29	10:00am	  	TOL  	at	  	MSU  	 	   	A	 	M	d1     				2022-01-29T15:00:00.000Z
2022-01-29	10:00am	  	SFC  	at	  	NAVY 	 	   	A	 	M	d1     				2022-01-29T15:00:00.000Z
2022-01-29	11:00am	  	ALA&M	at	  	MER  	 	   	A	 	M	d1     				2022-01-29T16:00:00.000Z
2022-01-29	11:00am	  	CRE  	at	  	NEB  	 	   	A	 	M	d1     				2022-01-29T16:00:00.000Z
2022-01-29	11:00am	  	LU   	at	  	SFU  	 	   	A	 	M	d1     				2022-01-29T16:00:00.000Z
2022-01-29	11:00am	  	UTRGV	at	  	RICE 	 	   	A	 	M	d1     				2022-01-29T16:00:00.000Z
2022-01-29	11:00am	  	TEM  	at	  	YALE 	 	   	A	 	M	d1     				2022-01-29T16:00:00.000Z
2022-01-29	12:00pm	  	OKST 	vs	  	ORE  	 	   	N	 	M	d1     				2022-01-29T17:00:00.000Z
2022-01-29	12:00pm	  	VANDY	vs	  	WIS  	 	   	N	 	M	d1     				2022-01-29T17:00:00.000Z
2022-01-29	 1:00pm	  	BING 	at	  	BROWN	 	   	A	 	M	d1     				2022-01-29T18:00:00.000Z
2022-01-29	 1:00pm	  	DUKE 	vs	  	LIB  	 	   	N	 	M	d1     				2022-01-29T18:00:00.000Z
2022-01-29	 1:00pm	  	WOF  	at	  	STET 	 	   	A	 	M	d1     				2022-01-29T18:00:00.000Z
2022-01-29	 2:00pm	  	YSU  	at	  	NAVY 	 	   	A	 	M	d1     				2022-01-29T19:00:00.000Z
2022-01-29	 3:00pm	  	SMCC 	at	  	CPOLY	 	   	A	 	M	d1     				2022-01-29T20:00:00.000Z
2022-01-29	 3:00pm	  	UCSB 	vs	  	UTAH 	 	   	N	 	M	d1     				2022-01-29T20:00:00.000Z
2022-01-29	 4:30pm	  	FAIR 	at	  	YALE 	 	   	A	 	M	d1     				2022-01-29T21:30:00.000Z
2022-01-29	 5:00pm	  	SACST	at	  	SCLAR	 	   	A	 	M	d1     				2022-01-29T22:00:00.000Z
2022-01-29	 5:00pm	  	IDAHO	vs	  	USU  	 	   	N	 	M	d1     				2022-01-29T22:00:00.000Z
2022-01-29	 6:00pm	  	BUCK 	at	  	MSU  	 	   	A	 	M	d1     				2022-01-29T23:00:00.000Z
2022-01-29	 7:00pm	  	HAW  	vs	  	WEBER	 	   	N	 	M	d1     				2022-01-30T00:00:00.000Z
2022-01-29	 2:30pm	  	YOUNG	at	  	MER  	 	   	A	 	M	d2/d1  				2022-01-29T19:30:00.000Z
2022-01-29	 5:30pm	  	ARC  	at	  	UCD  	 	   	A	 	M	juco/d1				2022-01-29T22:30:00.000Z
2022-01-29	12:00pm	  	AZCHR	at	  	NAU  	 	   	A	 	M	naia/d1				2022-01-29T17:00:00.000Z
2022-01-29	 4:00pm	  	AZCHR	at	  	NAU  	 	   	A	 	M	naia/d1				2022-01-29T21:00:00.000Z
2022-01-30	10:00am	  	LOU  	at	11	UCF  	 	   	A	 	M	d1     				2022-01-30T15:00:00.000Z
2022-01-30	10:00am	  	FORD 	at	  	BROWN	 	   	A	 	M	d1     				2022-01-30T15:00:00.000Z
2022-01-30	10:00am	  	IND  	vs	  	VANDY	 	   	N	 	M	d1     				2022-01-30T15:00:00.000Z
2022-01-30	10:00am	  	LIPST	at	  	NJIT 	 	   	A	 	M	d1     				2022-01-30T15:00:00.000Z
